isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments,ecb_number
2320882,2,2129283,2506.0,100.0,20190123,AEUHAZ1,00256,1285,EDWARD L GRANT HIGHWAY,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*012319AEUHAZ100256,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190712.0,SQS    PAID INVOICE #62100135,35332418X
2367266,3,3071929,3155.0,14.0,20190626,AEUHAZ1,00907,180,NOLL STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V062619AEUHAZ100907,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35374644J
2425745,3,3126170,5374.0,57.0,20191113,AEUHAZ1,00509,555,EAST 5 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V111319AEUHAZ100509,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39008341H
2424685,5,5112017,1022.0,1.0,20191108,LBLVIO,16175,139,RICHMOND AVENUE,00099990,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO16175,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2354778,3,3183192,6803.0,6803.0,20190520,EVCAT5,03233,2002,QUENTIN ROAD,3P3195,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT503233,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2335419,3,3116556,5081.0,39.0,20190403,AEUHAZ1,00370,156,EAST 21 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V040319AEUHAZ100370,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35372785Y
2360573,4,4531845,6706.0,1.0,20190502,BENCH,03481,76-01,150 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH03481,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20200527.0,CHALLENGE APPROVED,
2381843,4,4209614,9796.0,5.0,20190802,BENCH,01981,166-25,JAMAICA AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH01981,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2428595,3,3000251,133.0,17.0,20191127,AEUHAZ1,00274,170,TILLARY STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*112719AEUHAZ100274,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200213.0,999999 PD INV#62163258,35451152J
2411040,1,1012541,713.0,1.0,20191108,LBLVIO,02530,75,9 AVENUE,00114647,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO02530,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20200213.0,"DAACIA DISMISSED,FULL PENALTY PD $1000         INV#62165840 CHK#1525337056",
2344408,4,4239798,11124.0,60.0,20190417,AEUHAZ1,00471,209-31,112 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V041719AEUHAZ100471,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35381265P
2333767,3,3058206,2049.0,7501.0,20190216,BENCH,00471,176,JOHNSON STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V021619BENCH00471,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2329400,1,1016135,846.0,7503.0,20190311,LANDMK,19-0279,868,BROADWAY,,,V031119LANDMK19-0279,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK,,,
2322281,1,1065321,16.0,7507.0,20190131,E,9027/642632,300,RECTOR PLACE,1P33784,,V*013119E9027/642632,V*-DOB VIOLATION - Resolved,E-ELEVATOR,20190325.0,"PPN203  AOC SUB ON 03/15/19 BY:CONSOLIDATED ELE KARL REVESZ, CERT#026001",
2348130,1,1014264,778.0,43.0,20190511,C,19-00376,330,7 AVENUE,,BOROUGH COMMISSIONER HAS ISSUE A STOP WORK ORDER FOR                            APPLICATION/PERMIT# 120236342 DUE TO INTENT TO REVOKE APPROVAL AND              PERMIT. STOP THE WORK AND MAKE SITE SAFE.,V*051119C19-00376,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION,20190802.0,OK TO DISMISS DOB VIOLATION. SWO        RESCINED BY COMM.,
2341220,1,1017861,874.0,1.0,20190405,EVCAT1,05049,105,EAST 18 ST,1P4048,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT105049,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190509.0,EVCAT1 2017 ANNUAL INSPECTION PROFORMED 9/30/17,
2419246,3,3398930,836.0,30.0,20191108,LBLVIO,10736,5610,2 AVENUE,00160349,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO10736,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2387719,1,1061524,2063.0,46.0,20190906,ACC1,03348,435,CONVENT AVE,1P10404,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC103348,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2422853,4,4442228,9625.0,40.0,20191108,LBLVIO,14343,139-54,QUEENS BOULEVARD,00083467,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO14343,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2386150,1,1024742,1018.0,7501.0,20190906,ACC1,01779,1567,BROADWAY,1P41011,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC101779,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2357110,1,1001103,65.0,20.0,20190502,BENCH,00017,12,JOHN STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH00017,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190801.0,PD INV#62111041,
2420447,3,3056976,1985.0,44.0,20191108,LBLVIO,11937,402,FRANKLIN AVENUE,00936789,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO11937,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2379970,2,2017059,3301.0,66.0,20190803,BENCH,00282,2821,BRIGGS AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*080319BENCH00282,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190903.0,CONFIRMED SUBMISSION,
2392058,2,2064328,4859.0,49.0,20190906,ACC1,07687,3934,BRONXWOOD AVENUE,2P10790,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC107687,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20200115.0,ACC    VIOL DISMISSED PENALTY PAID 62152774,
2405292,2,2012871,3103.0,33.0,20191018,C,062SC,712,EAST 187 STREET,,BOROUGH COMMISSIONER'S OFFICE INTENT TO REVOKE PERMIT #220639101,V101819C062SC,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2380468,2,2094667,3165.0,55.0,20190802,BENCH,00771,2395,GRAND CONCOURSE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH00771,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2352352,1,1063629,2153.0,2153.0,20190520,EVCAT5,00806,284,AUDUBON AVENUE,1F4979,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT500806,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20190926.0,EVCAT5 PENALTY PAID,
2377593,1,1083800,1079.0,9029.0,20190822,AEUHAZ1,00163,747,10 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*082219AEUHAZ100163,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190909.0,YUM    PAID INV 62119705,38269904L
2403904,3,3028096,1143.0,89.0,20191017,AEUHAZ1,00710,79,ST MARKS AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*101719AEUHAZ100710,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191115.0,ECB DISMISSED,35424846K
2357520,1,1018009,877.0,89.0,20190502,BENCH,00427,279,PARK AVENUE SOUTH,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH00427,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20191122.0,PD INV#__62143081,
2357776,1,1041863,1393.0,14.0,20190502,BENCH,00684,25,EAST 78 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH00684,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2356096,2,2004504,2633.0,16.0,20190529,AEUHAZ1,00220,1076,BOSTON ROAD,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*052919AEUHAZ100220,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191213.0,ECB DISMISSED,35376013M
2428525,2,2013631,3156.0,9.0,20191127,AEUHAZ1,00204,2070,GRAND CONCOURSE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V112719AEUHAZ100204,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,38271282Z
2405710,4,4168094,8024.0,51.0,20191010,LANDMK,20-0159,329,WARWICK AVENUE,,,V101019LANDMK20-0159,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK,,,
2395153,3,3101840,4669.0,37.0,20190906,ACC1,10782,1064,LENOX ROAD,3P7607,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC110782,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2356373,3,3125055,5349.0,84.0,20190529,AEUHAZ1,00497,2,CHURCH AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V052919AEUHAZ100497,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35352828R
2392303,4,4615634,2080.0,101.0,20190906,ACC1,07932,61-11,JUNCTION BOULEVARD,4F6088,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC107932,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191212.0,CAT1   FAILED TO FILE 2017 AOC                 PENALTY PAID #62147938,
2400166,4,4609438,2016.0,171.0,20191002,C,19-00869,111-39,44 AVENUE,,BORO COMMISSIONER HAS ORDERED WORK STOPPED FOR # 421343745 DUE TO GC #          613162 LICENSE REVOCATION. SITE CLOSED. UNABLE TO DETERMINE THE                 PERCENTAGE OF WORK COMPLETED.,V*100219C19-00869,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION,20191230.0,OK TO DISMISS BC RESCIND LETTER ISSUED,
2372534,3,3017891,915.0,10.0,20190724,AEUHAZ1,00338,714,39 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*072419AEUHAZ100338,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190821.0,999999 PD INV#62115771,35377642J
2338417,1,1016110,846.0,2.0,20190405,EVCAT1,02246,101,FIFTH AVE,1P40848,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT102246,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20200303.0,CAT 1  PAID PENALTY FAILURE TO FILE #62093144,
2410954,1,1041907,1394.0,69.0,20191108,LBLVIO,02444,108,EAST 60 STREET,00112688,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO02444,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2424078,4,4254718,11747.0,52.0,20191108,LBLVIO,15568,125-14,ROCKAWAY BOULEVARD,00173786,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO15568,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2382999,1,1083798,1075.0,1.0,20190903,LL2604S,NRF00868,539,WEST 46 STREET,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V090319LL2604SNRF00868,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2420308,3,3069220,2775.0,25.0,20191108,LBLVIO,11798,261,MANHATTAN AVENUE,00830056,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO11798,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2319081,4,4529893,550.0,10.0,20190109,AEUHAZ1,01283,21-01,30 DRIVE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*010919AEUHAZ101283,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191107.0,SQS    C OF C APPROVED BEFORE AEU HAZ,38265338H
2372851,3,3856329,1664.0,77.0,20190724,AEUHAZ1,00655,361,MACON STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*072419AEUHAZ100655,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191122.0,ECB DISMISSED,35418308M
2385396,1,1015219,810.0,1.0,20190906,ACC1,01025,441,7 AV,1P13061,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC101025,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2366914,2,2049695,4332.0,1.0,20190626,AEUHAZ1,00555,1122,PELHAM PARKWAY,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V062619AEUHAZ100555,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35359024N
2384761,1,1002854,221.0,30.0,20190906,ACC1,00390,182,HUDSON ST,1P42801,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC100390,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2388632,3,3001742,234.0,24.0,20190906,ACC1,04261,169,COLUMBIA HTS,3P7753,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC104261,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20200303.0,ACC1    2017 AOC PENALTY FEE PAID.,
2404685,4,4443103,3605.0,1.0,20191017,AEUHAZ1,01491,66-26,METROPOLITAN AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*101719AEUHAZ101491,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191113.0,999999 PD INV#62139651,39005555J
2332753,3,3396770,2363.0,1.0,20190219,E,9027/646216,209,KENT AVENUE,03P13428,,V*021919E9027/646216,V*-DOB VIOLATION - Resolved,E-ELEVATOR,20190326.0,"PPN203  AOC SUB ON 03/15/19 BY:OTIS ELEV. CO.   JEFF FICHERA, CERT#056141",
2387372,1,1046982,1502.0,12.0,20190906,ACC1,03001,17,E 90TH ST,1P47295,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC103001,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191226.0,"ACC1   2017 AOC WAS DONE ON TIME, 02/28/18.",
2338424,1,1089695,729.0,9001.0,20190405,EVCAT1,02253,450,WEST 33RD ST,1P28529,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT102253,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20191106.0,CAT1   FAILED TO FILE 2017 INSP/RPT            PENALTY PAID #62137633,
2327665,3,3077365,3378.0,58.0,20190306,AEUHAZ1,00707,315,CORNELIA STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100707,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35377899P
2393708,1,1001280,93.0,1.0,20190906,ACC1,09337,150,WILLIAM STREET,1P4312,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC109337,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2395970,2,2092077,2895.0,1.0,20190906,ACH1,00184,1430,WEBSTER AVENUE,2P3728,VIO ISSUED TO NYCHA ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST,V*090619ACH100184,V*-DOB VIOLATION - DISMISSED,ACH1-(NYCHA) - ELEVATOR AFFIRMATION OF CORRECTION,20200124.0,ACC1    2017 INSPECTION/TEST PERFORMED 8/18/17 & FILED 11/02/17-CITY OWNED.,
2345017,3,3086879,3920.0,16.0,20190415,IMEGNCY,13681A,11,SCHENCK AVENUE,,"FULLY ENCLOSE PERIMETER OF THE PREMISES WITH AN 8FT CONSTRUCTION FENCE           TO SECURE THE BLDG.NOTE: CONSTRUCTION FENCE ALONG THE EXP#4SIDE MUST           BE 15FT OFF OF THE BLDG WALL,& WILL BE SITUATED IN THE ADJACENT                 PROPERTY AT 13 SCHENCK AVENUE",V041519IMEGNCY13681A,V-DOB VIOLATION - ACTIVE,IMEGNCY-IMMEDIATE EMERGENCY,,,
2415058,3,3043197,1600.0,15.0,20191108,LBLVIO,06548,1096,BROADWAY,00052537,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO06548,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20191212.0,MLSCIA DISMISSED FULL PENALTY PD $1000         INV#62148427    CHK#0202 016672,
2413769,2,2005568,2708.0,40.0,20191108,LBLVIO,05259,950,LONGWOOD AVENUE,00163048,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO05259,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2404385,3,3336218,5103.0,50.0,20191017,AEUHAZ1,01191,2262,CHURCH AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V101719AEUHAZ101191,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35434897J
2352885,1,1040012,1350.0,1350.0,20190520,EVCAT5,01339,320,EAST 58 STREET,1P25353,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT501339,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20191003.0,"CIAMDD DISMISSED,2018 CAT5 PERFORMED 3/30/18 & FILED 5/10/18.",
2357932,1,1055263,1832.0,29.0,20190502,BENCH,00840,1,WEST 96 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH00840,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2360799,5,5015704,610.0,7502.0,20190502,BENCH,03707,850,HOWARD AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH03707,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2331621,3,3019109,942.0,37.0,20190306,AEUHAZ1,00271,142,PARK PLACE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100271,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35354403K
2377801,3,3062798,2393.0,26.0,20190822,AEUHAZ1,00371,214,GRAND STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*082219AEUHAZ100371,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200325.0,HPM    PAID INVOICE#31590196,35425803P
2395349,4,4462248,10152.0,66.0,20190906,ACC1,10978,94-45,GUY BREWER BOULEVARD,4P5714,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC110978,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2343896,1,1007251,484.0,7502.0,20190321,E,9027/644539,78,MERCER STREET,001F1717,,V*032119E9027/644539,V*-DOB VIOLATION - Resolved,E-ELEVATOR,20190417.0,"PPN203  AOC SUB ON 4/4/19 BY:CONSOLIDATED ELEV. KARL REVESZ, CERT#026001",
2382695,1,1035771,1291.0,28.0,20190903,LL2604S,NRF00564,61,EAST 55 STREET,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V090319LL2604SNRF00564,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2420717,4,4008863,622.0,76.0,20191108,LBLVIO,12207,32-78,35 STREET,00005257,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO12207,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20200309.0,"CIAGVN DISMISSED, FULL CIVIL PENALTY OF $1,000 PAID. INV#62172135, CK#1515205989",
2410393,1,1041024,1378.0,16.0,20191108,LBLVIO,01883,716,MADISON AVENUE,00083459,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO01883,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2383070,1,1015000,801.0,1.0,20190903,LL2604S,NRF00939,275,7 AVENUE,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V090319LL2604SNRF00939,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2424049,4,4045573,1843.0,1.0,20191108,LBLVIO,15539,87-03,QUEENS BOULEVARD,00167332,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO15539,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2427950,1,1016748,855.0,24.0,20191112,LL2604S,NRF00085,360,PARK AVENUE SOUTH,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V111219LL2604SNRF00085,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2377450,1,1005207,406.0,14.0,20190822,AEUHAZ1,00020,516,EAST 13 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*082219AEUHAZ100020,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191010.0,PAID 62124839,35425308H
2375575,4,4237120,11027.0,287.0,20190807,AEUHAZ1,00720,114-21,208 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*080719AEUHAZ100720,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191129.0,ECB DISMISSED,35421655Y
2330204,2,2015810,3258.0,50.0,20190318,EARCX,10157,3344,FT INDEPENDENCE STREET,,FAILURE TO SUBMIT AN EER PER AD. CODE SEC. 28-308.4 IN 2018,V*031819EARCX10157,V*-DOB VIOLATION - DISMISSED,EARCX-FAILURE TO SUBMIT EER,20200206.0,PROP TRANS,
2385690,1,1085465,849.0,1102.0,20190906,ACC1,01319,40,E 21ST ST,1P3979,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC101319,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2344094,2,2073198,5336.0,6.0,20190417,AEUHAZ1,00157,2951,BAISLEY AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V041719AEUHAZ100157,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35352592J
