"Class","Age","Sex","SurvivalStatus"
"2nd","Quantity[27., ""Years""]","male","died"
"2nd","Quantity[29., ""Years""]","female","survived"
"2nd","Quantity[2., ""Years""]","male","survived"
"2nd","Quantity[4., ""Years""]","female","survived"
"2nd","Quantity[29., ""Years""]","female","survived"
"2nd","Quantity[0.9167, ""Years""]","female","survived"
"2nd","Quantity[5., ""Years""]","female","survived"
"2nd","Quantity[36., ""Years""]","male","died"
"2nd","Quantity[33., ""Years""]","female","survived"
"2nd","Quantity[66., ""Years""]","male","died"
"2nd","Missing[""Not Available""]","male","died"
"2nd","Quantity[31., ""Years""]","male","survived"
"2nd","Missing[""Not Available""]","male","survived"
"2nd","Quantity[26., ""Years""]","female","survived"
"2nd","Quantity[24., ""Years""]","female","died"
"3rd","Quantity[42., ""Years""]","male","died"
"3rd","Quantity[13., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[35., ""Years""]","female","survived"
"3rd","Quantity[16., ""Years""]","female","survived"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Quantity[20., ""Years""]","male","survived"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[40., ""Years""]","female","died"
"3rd","Quantity[0.8333, ""Years""]","male","survived"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[26., ""Years""]","male","survived"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","female","survived"
"3rd","Quantity[4., ""Years""]","male","died"
"3rd","Quantity[6., ""Years""]","female","died"
"3rd","Quantity[2., ""Years""]","female","died"
"3rd","Quantity[17., ""Years""]","female","survived"
"3rd","Quantity[38., ""Years""]","female","died"
"3rd","Quantity[9., ""Years""]","female","died"
"3rd","Quantity[11., ""Years""]","female","died"
"3rd","Quantity[39., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","survived"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[39., ""Years""]","female","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Quantity[5., ""Years""]","male","died"
"3rd","Quantity[9., ""Years""]","male","died"
"3rd","Quantity[3., ""Years""]","male","survived"
"3rd","Quantity[13., ""Years""]","male","died"
"3rd","Quantity[5., ""Years""]","female","survived"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","male","survived"
"3rd","Quantity[38., ""Years""]","female","survived"
"3rd","Quantity[45., ""Years""]","female","survived"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","female","died"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","male","died"
"3rd","Quantity[13., ""Years""]","female","survived"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Quantity[33., ""Years""]","female","survived"
"3rd","Quantity[0.75, ""Years""]","female","survived"
"3rd","Quantity[0.75, ""Years""]","female","survived"
"3rd","Quantity[5., ""Years""]","female","survived"
"3rd","Quantity[24., ""Years""]","female","survived"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[20., ""Years""]","male","survived"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[45., ""Years""]","female","died"
"3rd","Quantity[27., ""Years""]","female","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[6., ""Years""]","male","died"
"3rd","Quantity[9., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[20., ""Years""]","female","died"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Quantity[18.5, ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","male","survived"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","female","died"
"3rd","Quantity[30., ""Years""]","female","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[38., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","female","survived"
"3rd","Quantity[37., ""Years""]","female","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","male","survived"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[30., ""Years""]","female","died"
"3rd","Quantity[70.5, ""Years""]","male","died"
"3rd","Quantity[43., ""Years""]","male","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Quantity[9., ""Years""]","male","survived"
"3rd","Quantity[3., ""Years""]","male","survived"
"3rd","Quantity[36., ""Years""]","female","survived"
"3rd","Quantity[59., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","female","survived"
"3rd","Quantity[44., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[22.5, ""Years""]","male","died"
"3rd","Quantity[45., ""Years""]","male","survived"
"3rd","Quantity[22., ""Years""]","female","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","female","survived"
"3rd","Quantity[29., ""Years""]","male","survived"
"3rd","Quantity[0.3333, ""Years""]","male","died"
"3rd","Quantity[34., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","female","died"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[36.5, ""Years""]","male","survived"
"3rd","Quantity[36., ""Years""]","female","survived"
"3rd","Quantity[30., ""Years""]","male","survived"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[1., ""Years""]","male","survived"
"3rd","Quantity[0.1667, ""Years""]","female","survived"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[33., ""Years""]","female","survived"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","female","survived"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[42., ""Years""]","male","died"
"3rd","Quantity[43., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","survived"
"3rd","Quantity[30., ""Years""]","female","survived"
"3rd","Quantity[24., ""Years""]","female","died"
"3rd","Quantity[23., ""Years""]","female","survived"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[65., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","survived"
"3rd","Quantity[23., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[45., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[39., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[15., ""Years""]","male","died"
"3rd","Quantity[47., ""Years""]","male","died"
"3rd","Quantity[5., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[40.5, ""Years""]","male","died"
"3rd","Quantity[40.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[21., ""Years""]","female","died"
"3rd","Quantity[9., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[48., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[9., ""Years""]","male","survived"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[41., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","female","survived"
"3rd","Quantity[38., ""Years""]","male","died"
"3rd","Quantity[9., ""Years""]","male","died"
"3rd","Quantity[1., ""Years""]","male","died"
"3rd","Quantity[11., ""Years""]","male","died"
"3rd","Quantity[10., ""Years""]","female","died"
"3rd","Quantity[16., ""Years""]","female","died"
"3rd","Quantity[14., ""Years""]","male","died"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[43., ""Years""]","female","died"
"3rd","Quantity[51., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[37., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","female","died"
"3rd","Quantity[17., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","female","survived"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[23.5, ""Years""]","male","died"
"3rd","Quantity[41., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[45., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[11., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[27., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[26., ""Years""]","female","survived"
"3rd","Quantity[23., ""Years""]","female","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[2., ""Years""]","female","survived"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[43., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[42., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[27., ""Years""]","female","died"
"3rd","Quantity[25., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[29., ""Years""]","male","survived"
"3rd","Quantity[21., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[48., ""Years""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[34., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","male","survived"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","male","died"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Quantity[4., ""Years""]","male","survived"
"3rd","Quantity[1., ""Years""]","female","survived"
"3rd","Quantity[49., ""Years""]","male","died"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[23., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[20., ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","female","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","survived"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[4., ""Years""]","female","survived"
"3rd","Quantity[39., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[18.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[34.5, ""Years""]","male","died"
"3rd","Quantity[44., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[22., ""Years""]","female","died"
"3rd","Quantity[26., ""Years""]","male","died"
"3rd","Quantity[4., ""Years""]","female","survived"
"3rd","Quantity[29., ""Years""]","male","survived"
"3rd","Quantity[26., ""Years""]","female","survived"
"3rd","Quantity[1., ""Years""]","female","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[36., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[37., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[26., ""Years""]","male","survived"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Quantity[34.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[39., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","female","died"
"3rd","Quantity[45., ""Years""]","female","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","female","died"
"3rd","Quantity[20., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Quantity[26., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[20.5, ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","survived"
"3rd","Quantity[51., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","female","survived"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[24., ""Years""]","male","survived"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[29., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Quantity[30.5, ""Years""]","female","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[15., ""Years""]","female","survived"
"3rd","Quantity[35., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[55.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[21., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[6., ""Years""]","male","survived"
"3rd","Quantity[27., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[34., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[24., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[15., ""Years""]","female","survived"
"3rd","Quantity[1., ""Years""]","female","survived"
"3rd","Quantity[20., ""Years""]","male","survived"
"3rd","Quantity[19., ""Years""]","female","survived"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[12., ""Years""]","male","survived"
"3rd","Quantity[14., ""Years""]","female","survived"
"3rd","Quantity[29., ""Years""]","female","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[26., ""Years""]","female","survived"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[41., ""Years""]","male","died"
"3rd","Quantity[39., ""Years""]","male","survived"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[28.5, ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Quantity[61., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[23., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[22., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[9., ""Years""]","male","survived"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[42., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[31., ""Years""]","female","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","female","died"
"3rd","Quantity[20., ""Years""]","female","died"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[2., ""Years""]","male","died"
"3rd","Quantity[6., ""Years""]","male","died"
"3rd","Quantity[3., ""Years""]","female","died"
"3rd","Quantity[8., ""Years""]","female","died"
"3rd","Quantity[29., ""Years""]","female","died"
"3rd","Quantity[1., ""Years""]","male","died"
"3rd","Quantity[7., ""Years""]","male","died"
"3rd","Quantity[2., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[14., ""Years""]","male","died"
"3rd","Quantity[41., ""Years""]","female","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Quantity[0.75, ""Years""]","male","died"
"3rd","Quantity[3., ""Years""]","female","died"
"3rd","Quantity[26., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","female","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[32., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[17., ""Years""]","male","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[38., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[10., ""Years""]","male","died"
"3rd","Quantity[4., ""Years""]","male","died"
"3rd","Quantity[7., ""Years""]","male","died"
"3rd","Quantity[2., ""Years""]","male","died"
"3rd","Quantity[8., ""Years""]","male","died"
"3rd","Quantity[39., ""Years""]","female","died"
"3rd","Quantity[22., ""Years""]","female","died"
"3rd","Quantity[35., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[50., ""Years""]","male","died"
"3rd","Quantity[47., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[2., ""Years""]","female","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[41., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[50., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[38.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[14.5, ""Years""]","male","died"
