,Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
31871,Female,Loyal Customer,22,Personal Travel,Eco,359,4,5,4,4,3,4,3,3,5,3,4,3,4,3,34,38.0,neutral or dissatisfied
31872,Female,Loyal Customer,28,Business travel,Business,3024,0,0,0,3,3,3,1,3,1,4,5,4,4,3,0,0.0,satisfied
31873,Male,Loyal Customer,15,Personal Travel,Eco,326,3,3,3,1,3,3,3,3,2,3,4,3,5,3,0,24.0,neutral or dissatisfied
31874,Male,Loyal Customer,49,Business travel,Business,135,2,2,2,2,2,5,5,5,5,4,5,4,5,5,0,0.0,satisfied
31875,Male,Loyal Customer,57,Business travel,Business,583,1,1,1,1,2,5,5,4,4,4,4,4,4,4,0,9.0,satisfied
31876,Female,Loyal Customer,53,Business travel,Eco,188,2,4,4,4,1,3,3,2,2,2,2,2,2,1,0,16.0,neutral or dissatisfied
31877,Female,Loyal Customer,36,Business travel,Business,160,1,1,4,1,2,4,3,2,2,2,1,4,2,4,0,6.0,neutral or dissatisfied
31878,Female,Loyal Customer,56,Personal Travel,Eco,468,3,5,3,3,3,4,5,3,3,3,3,3,3,5,0,0.0,neutral or dissatisfied
31879,Female,Loyal Customer,49,Business travel,Eco Plus,235,1,1,1,1,3,4,4,1,1,1,1,1,1,3,0,0.0,neutral or dissatisfied
31880,Male,Loyal Customer,36,Business travel,Business,162,1,1,1,1,1,1,1,3,5,3,4,1,1,1,232,232.0,neutral or dissatisfied
31881,Female,Loyal Customer,47,Business travel,Business,2504,2,5,2,2,4,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
31882,Female,Loyal Customer,57,Business travel,Business,1801,3,3,3,3,2,4,5,2,2,2,2,3,2,5,0,0.0,satisfied
31883,Female,disloyal Customer,23,Business travel,Business,717,5,0,5,1,4,5,4,4,4,5,5,3,5,4,5,0.0,satisfied
31884,Female,Loyal Customer,18,Personal Travel,Eco,599,2,5,2,3,4,2,4,4,4,2,3,5,4,4,1,7.0,neutral or dissatisfied
31885,Male,Loyal Customer,43,Business travel,Business,265,5,5,5,5,4,4,4,3,3,5,4,4,3,4,209,224.0,satisfied
31886,Male,Loyal Customer,43,Business travel,Eco,541,3,5,5,5,3,3,3,3,1,4,4,4,4,3,0,0.0,neutral or dissatisfied
31887,Male,Loyal Customer,30,Business travel,Business,3980,3,3,1,3,3,3,3,3,3,2,4,1,2,3,15,17.0,satisfied
31888,Female,disloyal Customer,25,Business travel,Business,1121,3,0,3,2,1,3,1,1,4,3,5,4,4,1,23,12.0,neutral or dissatisfied
31889,Female,Loyal Customer,56,Business travel,Eco,936,3,1,1,1,1,4,3,3,3,3,3,1,3,1,66,57.0,satisfied
31890,Male,disloyal Customer,34,Business travel,Business,442,2,2,2,3,2,2,2,2,3,5,5,4,5,2,0,2.0,neutral or dissatisfied
31891,Female,Loyal Customer,54,Business travel,Business,2217,5,5,5,5,2,5,4,3,3,4,3,4,3,4,9,11.0,satisfied
31892,Male,Loyal Customer,20,Business travel,Business,235,4,2,2,2,4,4,4,4,1,5,4,3,4,4,26,16.0,neutral or dissatisfied
31893,Female,Loyal Customer,15,Personal Travel,Eco,209,2,3,2,3,4,2,3,4,4,4,2,2,2,4,12,0.0,neutral or dissatisfied
31894,Female,Loyal Customer,49,Business travel,Eco Plus,280,4,2,2,2,5,4,5,4,4,4,4,2,4,1,22,3.0,satisfied
31895,Female,disloyal Customer,25,Business travel,Eco,1260,2,2,2,4,2,1,1,3,1,4,3,1,5,1,0,0.0,neutral or dissatisfied
31896,Female,Loyal Customer,52,Business travel,Business,1549,1,1,1,1,2,5,4,5,5,5,5,4,5,3,22,22.0,satisfied
31897,Male,Loyal Customer,39,Business travel,Eco,395,4,2,2,2,4,4,4,4,1,4,3,1,3,4,1,0.0,satisfied
31898,Female,Loyal Customer,28,Business travel,Eco Plus,680,5,2,2,2,5,5,5,5,5,5,4,2,3,5,7,2.0,satisfied
31899,Male,disloyal Customer,24,Business travel,Eco,277,4,2,4,1,2,4,2,2,1,3,2,3,1,2,0,0.0,neutral or dissatisfied
31900,Male,disloyal Customer,36,Business travel,Eco,239,3,5,3,4,3,3,4,3,4,3,2,1,3,3,2,0.0,neutral or dissatisfied
31901,Female,disloyal Customer,26,Business travel,Eco Plus,337,3,3,3,2,3,3,3,3,5,4,5,1,2,3,0,8.0,neutral or dissatisfied
31902,Male,disloyal Customer,27,Business travel,Business,436,1,1,1,4,4,1,5,4,4,4,5,5,4,4,6,79.0,neutral or dissatisfied
31903,Female,Loyal Customer,16,Business travel,Business,1721,1,4,4,4,1,1,1,1,3,2,4,4,3,1,45,39.0,neutral or dissatisfied
31904,Female,Loyal Customer,34,Business travel,Business,236,2,2,2,2,2,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
31905,Male,Loyal Customer,41,Business travel,Business,542,2,2,2,2,3,4,4,4,4,5,4,3,4,3,53,59.0,satisfied
31906,Female,Loyal Customer,49,Personal Travel,Eco,453,3,3,1,4,2,1,2,2,2,1,4,2,2,5,0,3.0,neutral or dissatisfied
31907,Male,disloyal Customer,45,Business travel,Business,909,5,5,5,1,3,5,3,3,3,4,5,5,5,3,0,6.0,satisfied
31908,Male,Loyal Customer,56,Personal Travel,Eco,337,3,5,3,3,3,3,4,3,3,2,4,3,4,3,0,0.0,neutral or dissatisfied
31909,Female,Loyal Customer,38,Personal Travel,Eco,335,5,5,5,3,1,5,1,1,4,3,4,4,5,1,0,0.0,satisfied
31910,Male,disloyal Customer,20,Business travel,Eco,594,0,0,0,4,5,0,5,5,5,2,5,5,5,5,11,2.0,satisfied
31911,Female,Loyal Customer,24,Business travel,Business,3675,3,3,2,2,3,3,3,3,1,2,4,4,4,3,10,15.0,neutral or dissatisfied
31912,Male,Loyal Customer,50,Business travel,Eco Plus,689,1,0,0,3,3,1,1,3,2,3,4,1,4,3,24,13.0,neutral or dissatisfied
31913,Female,Loyal Customer,33,Business travel,Business,157,2,4,4,4,1,4,4,1,1,2,2,3,1,4,0,0.0,neutral or dissatisfied
31914,Female,Loyal Customer,49,Business travel,Eco Plus,1235,5,3,3,3,5,2,3,5,5,5,5,1,5,3,1,0.0,satisfied
31915,Female,Loyal Customer,27,Business travel,Eco,356,2,4,4,4,2,2,2,2,4,1,4,2,3,2,1,6.0,neutral or dissatisfied
31916,Male,disloyal Customer,47,Business travel,Business,1072,2,2,2,5,5,2,2,5,3,3,5,2,1,5,0,0.0,neutral or dissatisfied
31917,Female,disloyal Customer,38,Business travel,Eco,266,2,4,3,3,2,3,2,2,4,2,3,3,3,2,42,22.0,neutral or dissatisfied
31918,Male,Loyal Customer,31,Business travel,Business,2525,2,5,5,5,2,2,2,2,4,1,4,1,3,2,0,0.0,neutral or dissatisfied
31919,Male,disloyal Customer,36,Business travel,Business,347,3,4,4,3,5,4,5,5,3,4,4,3,4,5,0,20.0,neutral or dissatisfied
31920,Female,Loyal Customer,53,Business travel,Eco,598,4,2,2,2,4,3,3,4,4,4,4,2,4,4,0,0.0,satisfied
31921,Male,Loyal Customer,47,Business travel,Eco,446,4,2,2,2,4,4,4,4,5,3,4,4,2,4,0,0.0,satisfied
31922,Female,Loyal Customer,38,Business travel,Business,812,1,1,5,1,3,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
31923,Male,disloyal Customer,25,Business travel,Eco,1605,1,1,1,4,2,1,1,2,4,2,3,3,4,2,9,0.0,neutral or dissatisfied
31924,Female,disloyal Customer,25,Business travel,Eco,127,2,0,2,5,3,2,3,3,3,1,5,5,1,3,0,0.0,neutral or dissatisfied
31925,Male,Loyal Customer,28,Personal Travel,Eco,1979,3,3,3,3,3,3,3,3,5,3,1,2,4,3,31,15.0,neutral or dissatisfied
31926,Female,Loyal Customer,42,Business travel,Business,3593,2,2,2,2,1,4,5,5,5,5,5,2,5,1,1,13.0,satisfied
31927,Female,disloyal Customer,27,Business travel,Eco,143,3,5,3,4,3,3,3,3,5,1,1,4,2,3,8,0.0,neutral or dissatisfied
31928,Female,Loyal Customer,70,Personal Travel,Eco,862,3,5,3,5,4,4,4,4,4,3,4,5,4,5,0,0.0,neutral or dissatisfied
31929,Female,Loyal Customer,51,Business travel,Business,687,3,3,3,3,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
31930,Female,Loyal Customer,33,Business travel,Business,2603,5,5,5,5,4,4,5,5,5,5,5,3,5,4,0,0.0,satisfied
31931,Female,disloyal Customer,38,Business travel,Eco Plus,2640,1,2,2,5,2,5,5,4,5,3,3,5,2,5,2,7.0,neutral or dissatisfied
31932,Male,Loyal Customer,44,Business travel,Business,3797,4,4,4,4,2,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
31933,Male,disloyal Customer,32,Business travel,Business,399,2,2,2,4,3,2,3,3,3,4,4,5,5,3,0,0.0,neutral or dissatisfied
31934,Male,Loyal Customer,44,Personal Travel,Business,1587,3,4,4,3,5,3,4,5,5,4,5,3,5,4,0,0.0,neutral or dissatisfied
31935,Male,Loyal Customer,48,Personal Travel,Eco,944,2,5,2,3,3,2,3,3,4,3,5,4,2,3,0,0.0,neutral or dissatisfied
31936,Female,Loyal Customer,47,Business travel,Eco,554,3,3,3,3,5,3,3,3,3,3,3,4,3,1,0,0.0,satisfied
31937,Male,Loyal Customer,39,Business travel,Business,2406,5,5,5,5,3,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
31938,Male,Loyal Customer,22,Personal Travel,Eco,342,2,5,2,4,4,2,1,4,3,3,4,3,4,4,0,2.0,neutral or dissatisfied
31939,Male,Loyal Customer,44,Business travel,Business,3031,3,3,3,3,4,3,3,5,5,5,5,3,5,4,0,2.0,satisfied
31940,Male,Loyal Customer,57,Business travel,Eco,686,4,1,1,1,4,4,4,4,5,4,4,3,1,4,0,9.0,satisfied
31941,Female,Loyal Customer,48,Personal Travel,Eco,581,2,4,2,1,2,5,5,3,3,2,3,4,3,3,9,9.0,neutral or dissatisfied
31942,Female,Loyal Customer,13,Personal Travel,Eco,261,3,2,0,3,3,0,3,3,4,5,3,4,3,3,0,0.0,neutral or dissatisfied
31943,Male,Loyal Customer,59,Business travel,Business,1572,1,1,1,1,5,4,5,3,3,3,3,5,3,5,0,0.0,satisfied
31944,Female,disloyal Customer,40,Business travel,Business,2688,3,3,3,3,1,3,1,1,3,3,3,2,4,1,0,0.0,neutral or dissatisfied
31945,Male,disloyal Customer,28,Business travel,Business,309,4,4,4,1,1,4,1,1,5,3,4,3,5,1,0,11.0,neutral or dissatisfied
31946,Male,Loyal Customer,23,Business travel,Eco,926,4,5,2,5,4,4,5,4,1,5,2,4,5,4,0,0.0,satisfied
31947,Female,Loyal Customer,36,Personal Travel,Eco,846,1,4,1,2,5,1,5,5,1,4,1,1,2,5,0,0.0,neutral or dissatisfied
31948,Female,Loyal Customer,9,Personal Travel,Eco,135,3,1,3,3,4,3,4,4,4,5,2,3,3,4,15,12.0,neutral or dissatisfied
31949,Female,disloyal Customer,25,Business travel,Eco,646,2,3,2,4,4,2,4,4,1,4,4,2,3,4,0,0.0,neutral or dissatisfied
31950,Female,disloyal Customer,26,Business travel,Business,577,2,4,2,3,5,2,4,5,5,3,4,5,5,5,0,0.0,neutral or dissatisfied
31951,Male,Loyal Customer,44,Personal Travel,Eco,406,2,4,5,3,3,5,3,3,5,2,5,5,5,3,8,12.0,neutral or dissatisfied
31952,Male,Loyal Customer,68,Personal Travel,Eco,2253,3,3,3,3,3,2,2,2,2,3,4,2,2,2,0,3.0,neutral or dissatisfied
31953,Female,Loyal Customer,44,Business travel,Business,2937,0,0,0,4,2,4,4,1,1,1,1,5,1,4,20,71.0,satisfied
31954,Male,disloyal Customer,23,Business travel,Business,277,3,4,3,3,4,3,4,4,4,1,4,2,4,4,0,0.0,neutral or dissatisfied
31955,Female,Loyal Customer,34,Business travel,Business,1391,4,4,4,4,2,4,5,5,5,5,5,5,5,3,0,3.0,satisfied
31956,Female,Loyal Customer,54,Business travel,Business,1624,2,2,2,2,4,4,4,4,4,4,4,3,4,5,21,0.0,satisfied
31957,Female,Loyal Customer,42,Business travel,Business,3019,3,3,3,3,5,4,4,4,4,4,4,3,4,5,1,4.0,satisfied
31958,Female,disloyal Customer,36,Business travel,Eco,451,1,0,2,1,2,2,2,2,5,5,5,4,2,2,7,0.0,neutral or dissatisfied
31959,Female,Loyal Customer,14,Business travel,Business,1558,3,3,3,3,4,4,4,4,3,4,5,3,4,4,0,0.0,satisfied
31960,Male,disloyal Customer,30,Business travel,Eco,1590,3,3,3,4,1,3,1,1,4,3,1,1,1,1,5,0.0,neutral or dissatisfied
31961,Male,Loyal Customer,44,Business travel,Business,237,1,1,1,1,5,4,4,5,5,4,5,4,5,4,42,40.0,satisfied
31962,Female,Loyal Customer,8,Personal Travel,Eco,821,1,5,1,3,1,1,1,1,4,5,4,5,4,1,5,5.0,neutral or dissatisfied
31963,Female,Loyal Customer,50,Business travel,Eco,581,4,3,5,5,4,2,1,4,4,4,4,3,4,1,22,19.0,satisfied
31964,Female,Loyal Customer,36,Business travel,Business,373,3,3,3,3,1,1,1,5,5,5,5,5,5,1,0,0.0,satisfied
31965,Male,disloyal Customer,30,Business travel,Business,926,2,2,2,3,4,2,2,4,2,3,3,2,4,4,0,0.0,neutral or dissatisfied
31966,Female,Loyal Customer,59,Business travel,Business,1585,1,1,4,1,5,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
31967,Female,Loyal Customer,7,Personal Travel,Eco,583,2,1,2,2,3,2,3,3,4,5,3,4,2,3,0,0.0,neutral or dissatisfied
31968,Female,Loyal Customer,26,Business travel,Business,1089,2,5,5,5,2,2,2,2,2,4,4,3,4,2,0,0.0,neutral or dissatisfied
31969,Male,Loyal Customer,44,Business travel,Business,3346,2,2,2,2,4,5,5,5,5,5,5,3,5,3,10,26.0,satisfied
31970,Male,Loyal Customer,42,Personal Travel,Eco,825,2,5,2,4,4,2,4,4,5,5,5,4,5,4,14,0.0,neutral or dissatisfied
31971,Male,Loyal Customer,35,Personal Travel,Eco,151,3,5,3,4,4,3,1,4,4,3,5,3,5,4,0,7.0,neutral or dissatisfied
31972,Female,Loyal Customer,56,Personal Travel,Eco,1728,3,5,3,2,1,4,5,5,5,3,5,1,5,2,18,14.0,neutral or dissatisfied
31973,Female,Loyal Customer,36,Business travel,Business,1509,2,1,1,1,3,3,4,2,2,2,2,1,2,3,7,0.0,neutral or dissatisfied
31974,Female,Loyal Customer,31,Personal Travel,Eco,368,4,4,4,4,3,4,3,3,3,5,4,2,4,3,0,0.0,satisfied
31975,Male,disloyal Customer,35,Business travel,Eco,794,1,1,1,3,1,1,3,1,3,2,2,4,2,1,59,62.0,neutral or dissatisfied
31976,Female,Loyal Customer,32,Business travel,Business,3301,5,5,5,5,4,4,4,4,4,3,4,3,4,4,0,0.0,satisfied
31977,Male,Loyal Customer,51,Personal Travel,Eco,692,1,4,1,2,3,1,3,3,5,5,4,5,4,3,13,29.0,neutral or dissatisfied
31978,Female,Loyal Customer,50,Personal Travel,Eco,838,2,5,1,4,3,5,4,2,2,1,2,5,2,3,35,26.0,neutral or dissatisfied
31979,Female,Loyal Customer,12,Personal Travel,Eco,546,4,4,4,4,1,4,1,1,5,5,5,2,4,1,0,0.0,neutral or dissatisfied
31980,Female,disloyal Customer,21,Business travel,Eco,153,1,3,1,4,2,1,2,2,4,4,3,2,3,2,0,0.0,neutral or dissatisfied
31981,Male,Loyal Customer,19,Business travel,Business,1400,2,4,4,4,2,2,2,2,1,4,3,4,3,2,83,83.0,neutral or dissatisfied
31982,Female,Loyal Customer,22,Personal Travel,Eco,853,3,5,3,3,4,3,4,4,3,3,5,3,4,4,2,4.0,neutral or dissatisfied
31983,Female,disloyal Customer,49,Business travel,Business,290,4,4,4,5,5,4,5,5,4,5,5,4,4,5,0,0.0,satisfied
31984,Female,disloyal Customer,22,Business travel,Eco,651,4,0,4,1,2,4,2,2,3,4,5,3,5,2,0,0.0,satisfied
31985,Female,disloyal Customer,51,Business travel,Eco,525,3,1,3,3,4,3,4,4,4,2,2,3,3,4,0,0.0,neutral or dissatisfied
31986,Male,Loyal Customer,37,Personal Travel,Business,828,1,5,1,1,4,5,5,4,4,1,4,3,4,3,4,18.0,neutral or dissatisfied
31987,Female,Loyal Customer,55,Personal Travel,Eco Plus,788,2,4,2,4,3,4,4,5,5,2,4,4,5,3,0,0.0,neutral or dissatisfied
31988,Female,Loyal Customer,55,Business travel,Business,409,3,3,3,3,4,5,5,4,4,4,4,5,4,4,7,13.0,satisfied
31989,Male,Loyal Customer,46,Business travel,Eco,102,4,4,4,4,4,4,4,4,2,1,4,2,1,4,0,1.0,satisfied
31990,Male,Loyal Customer,41,Business travel,Business,372,5,5,4,5,2,4,4,4,4,5,4,4,4,5,25,19.0,satisfied
31991,Female,Loyal Customer,23,Business travel,Business,3463,0,0,0,4,3,3,3,3,5,1,3,5,5,3,0,0.0,satisfied
31992,Male,Loyal Customer,13,Personal Travel,Eco,951,3,4,3,4,3,4,1,1,3,3,1,1,2,1,255,252.0,neutral or dissatisfied
31993,Male,Loyal Customer,65,Personal Travel,Eco,334,3,5,3,2,4,3,4,4,5,5,5,5,5,4,25,27.0,neutral or dissatisfied
31994,Male,Loyal Customer,39,Personal Travel,Business,1091,4,2,4,3,2,3,2,1,1,4,1,1,1,1,0,0.0,neutral or dissatisfied
31995,Female,disloyal Customer,29,Business travel,Eco,1085,3,3,3,4,5,3,5,5,2,1,4,4,3,5,0,4.0,neutral or dissatisfied
31996,Female,Loyal Customer,28,Business travel,Business,1575,2,1,1,1,2,1,2,2,4,5,4,2,3,2,27,28.0,neutral or dissatisfied
31997,Female,Loyal Customer,23,Business travel,Business,2438,1,5,4,5,1,1,1,1,4,1,3,2,4,1,1,0.0,neutral or dissatisfied
31998,Female,Loyal Customer,51,Personal Travel,Eco,247,1,5,1,4,5,4,4,2,2,1,2,5,2,5,0,0.0,neutral or dissatisfied
31999,Male,Loyal Customer,36,Business travel,Eco,551,4,3,4,4,4,4,4,4,5,1,2,5,2,4,0,0.0,satisfied
32000,Male,Loyal Customer,43,Business travel,Business,787,5,5,5,5,5,5,5,4,4,4,4,3,4,5,0,0.0,satisfied
32001,Male,Loyal Customer,20,Business travel,Eco Plus,1091,3,1,1,1,3,3,2,3,4,1,4,1,3,3,0,0.0,neutral or dissatisfied
32002,Male,Loyal Customer,59,Personal Travel,Eco,1008,2,5,2,3,5,2,5,5,3,4,5,3,5,5,27,17.0,neutral or dissatisfied
32003,Female,Loyal Customer,37,Personal Travel,Eco,391,2,1,2,2,3,2,3,3,1,2,2,2,2,3,8,0.0,neutral or dissatisfied
32004,Female,Loyal Customer,62,Business travel,Business,1695,2,2,2,2,2,5,4,5,5,5,5,5,5,3,119,126.0,satisfied
32005,Male,Loyal Customer,30,Business travel,Eco,2521,0,0,0,3,3,0,3,3,2,4,5,5,4,3,2,0.0,satisfied
32006,Male,Loyal Customer,50,Personal Travel,Eco,328,1,0,1,4,4,1,4,4,5,4,5,4,4,4,19,29.0,neutral or dissatisfied
32007,Female,disloyal Customer,27,Business travel,Eco,717,3,3,3,4,4,3,4,4,1,3,4,2,1,4,0,0.0,neutral or dissatisfied
32008,Male,Loyal Customer,67,Personal Travel,Eco,550,1,4,0,4,2,0,2,2,4,2,3,3,4,2,0,0.0,neutral or dissatisfied
32009,Female,disloyal Customer,22,Business travel,Eco,1027,5,5,5,2,4,5,4,4,4,1,1,3,4,4,22,19.0,satisfied
32010,Female,Loyal Customer,41,Personal Travel,Eco,190,4,5,4,3,2,4,2,2,4,5,5,5,4,2,4,0.0,neutral or dissatisfied
32011,Female,Loyal Customer,60,Personal Travel,Eco Plus,250,3,4,3,4,4,4,4,5,5,3,5,3,5,3,0,0.0,neutral or dissatisfied
32012,Female,Loyal Customer,41,Business travel,Eco Plus,236,1,2,2,2,3,3,3,1,1,1,1,2,1,3,0,17.0,neutral or dissatisfied
32013,Female,Loyal Customer,25,Business travel,Business,3815,4,4,4,4,5,5,5,5,3,5,2,4,2,5,0,0.0,satisfied
32014,Female,Loyal Customer,34,Business travel,Business,1644,0,4,0,3,1,4,2,5,5,5,5,5,5,5,0,0.0,satisfied
32015,Male,Loyal Customer,56,Business travel,Business,3750,5,5,5,5,2,5,4,3,3,3,3,3,3,3,0,1.0,satisfied
32016,Female,Loyal Customer,32,Business travel,Eco,991,2,1,1,1,2,2,2,2,3,2,2,3,2,2,86,117.0,neutral or dissatisfied
32017,Female,Loyal Customer,23,Personal Travel,Eco Plus,1754,3,4,4,2,3,4,4,3,4,2,4,4,3,3,7,1.0,neutral or dissatisfied
32018,Female,Loyal Customer,51,Business travel,Business,2199,5,5,5,5,4,2,1,5,5,5,5,1,5,1,0,0.0,satisfied
32019,Male,Loyal Customer,54,Personal Travel,Eco,408,2,1,2,3,4,2,4,4,4,4,4,4,4,4,6,11.0,neutral or dissatisfied
32020,Male,Loyal Customer,50,Business travel,Business,1558,1,1,1,1,4,5,5,4,4,4,4,5,4,5,73,63.0,satisfied
32021,Female,Loyal Customer,43,Business travel,Business,1729,0,0,0,2,1,2,2,1,1,1,1,5,1,1,0,0.0,satisfied
32022,Female,Loyal Customer,9,Personal Travel,Eco,580,2,4,2,4,2,2,2,2,4,4,4,5,5,2,0,0.0,neutral or dissatisfied
32023,Male,Loyal Customer,61,Personal Travel,Eco,587,4,2,4,3,5,4,5,5,3,4,4,1,3,5,42,41.0,neutral or dissatisfied
32024,Male,Loyal Customer,36,Business travel,Business,515,1,1,1,1,2,3,5,5,5,4,5,4,5,2,0,0.0,satisfied
32025,Female,disloyal Customer,21,Business travel,Eco,175,1,0,1,4,1,1,1,1,4,2,5,3,5,1,0,0.0,neutral or dissatisfied
32026,Female,Loyal Customer,52,Business travel,Business,3096,4,4,4,4,4,2,5,4,4,4,4,5,4,3,0,0.0,satisfied
32027,Female,Loyal Customer,51,Business travel,Business,2924,2,2,2,2,5,5,1,5,5,5,4,2,5,1,0,0.0,satisfied
32028,Female,Loyal Customer,42,Business travel,Business,1689,4,4,4,4,2,5,4,4,4,4,4,5,4,3,58,52.0,satisfied
32029,Male,disloyal Customer,26,Business travel,Business,125,4,0,4,1,1,4,1,1,3,4,4,5,5,1,0,0.0,satisfied
32030,Male,Loyal Customer,36,Personal Travel,Eco,1400,4,3,4,3,4,4,4,4,1,4,2,1,2,4,26,3.0,neutral or dissatisfied
32031,Male,Loyal Customer,41,Business travel,Business,846,1,1,1,1,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
32032,Female,disloyal Customer,20,Business travel,Eco,773,2,2,2,4,3,2,3,3,2,1,3,1,3,3,0,0.0,neutral or dissatisfied
32033,Female,Loyal Customer,40,Business travel,Business,1630,2,2,2,2,4,3,3,2,2,2,2,3,2,3,0,0.0,neutral or dissatisfied
32034,Female,Loyal Customer,36,Business travel,Business,1892,5,5,5,5,3,5,5,4,4,4,4,4,4,4,0,8.0,satisfied
32035,Male,disloyal Customer,19,Business travel,Eco,1235,2,2,2,2,4,2,3,4,1,5,2,1,2,4,82,59.0,neutral or dissatisfied
32036,Female,disloyal Customer,25,Business travel,Eco Plus,1107,2,3,2,3,5,2,5,5,2,2,3,4,3,5,32,32.0,neutral or dissatisfied
32037,Female,Loyal Customer,15,Business travel,Business,661,2,2,2,2,5,5,5,5,5,3,5,3,5,5,0,0.0,satisfied
32038,Male,Loyal Customer,49,Personal Travel,Eco,584,2,5,2,3,4,2,4,4,3,5,4,4,4,4,2,2.0,neutral or dissatisfied
32039,Female,Loyal Customer,45,Business travel,Business,1546,1,1,1,1,3,5,5,5,5,5,5,2,5,2,38,30.0,satisfied
32040,Male,disloyal Customer,21,Business travel,Eco,605,2,4,2,4,5,2,5,5,4,2,3,3,4,5,23,19.0,neutral or dissatisfied
32041,Female,Loyal Customer,28,Business travel,Business,3102,5,5,5,5,3,4,3,3,3,2,5,3,3,3,38,36.0,satisfied
32042,Male,Loyal Customer,18,Business travel,Business,3581,2,2,2,2,5,5,5,5,1,5,2,3,4,5,0,2.0,satisfied
32043,Female,Loyal Customer,36,Personal Travel,Eco,110,3,1,3,2,2,3,2,2,3,4,3,1,3,2,0,0.0,neutral or dissatisfied
32044,Male,disloyal Customer,44,Business travel,Business,273,2,2,2,4,5,2,5,5,3,3,4,3,4,5,11,11.0,neutral or dissatisfied
32045,Female,disloyal Customer,22,Business travel,Business,255,0,0,0,1,5,0,5,5,5,3,4,3,5,5,0,0.0,satisfied
32046,Female,disloyal Customer,24,Business travel,Business,364,5,0,5,5,4,5,4,4,3,3,5,3,4,4,64,76.0,satisfied
32047,Female,Loyal Customer,55,Business travel,Business,349,0,0,0,5,2,5,4,1,1,1,1,3,1,4,1,0.0,satisfied
32048,Female,Loyal Customer,59,Business travel,Business,2914,4,4,4,4,1,1,5,5,5,5,5,5,5,3,0,0.0,satisfied
32049,Male,Loyal Customer,23,Personal Travel,Eco,1919,3,4,3,2,1,3,1,1,4,4,4,3,4,1,0,7.0,neutral or dissatisfied
32050,Female,disloyal Customer,23,Business travel,Eco,354,2,4,2,4,5,2,5,5,4,2,4,4,3,5,0,0.0,neutral or dissatisfied
32051,Female,Loyal Customer,59,Business travel,Business,1192,2,2,2,2,2,4,3,2,2,2,2,1,2,1,1,0.0,neutral or dissatisfied
32052,Male,Loyal Customer,30,Personal Travel,Eco,386,4,1,4,3,2,4,2,2,3,5,4,2,4,2,8,1.0,neutral or dissatisfied
32053,Female,disloyal Customer,19,Business travel,Eco,937,4,4,4,3,1,4,1,1,3,3,3,3,4,1,0,30.0,neutral or dissatisfied
32054,Male,disloyal Customer,26,Business travel,Business,1021,0,0,0,1,3,0,5,3,3,5,4,3,4,3,0,0.0,satisfied
32055,Female,Loyal Customer,56,Business travel,Business,3756,2,2,2,2,3,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
32056,Female,Loyal Customer,58,Business travel,Business,300,4,4,3,4,3,4,4,5,5,5,5,4,5,5,0,0.0,satisfied
32057,Female,disloyal Customer,36,Business travel,Eco,405,2,3,2,3,1,2,1,1,2,2,4,2,4,1,0,0.0,neutral or dissatisfied
32058,Female,Loyal Customer,54,Business travel,Business,1665,0,0,0,4,3,5,5,1,1,1,1,4,1,4,0,0.0,satisfied
32059,Female,disloyal Customer,21,Business travel,Eco,1005,2,2,2,1,2,2,2,2,2,5,4,3,4,2,1,0.0,neutral or dissatisfied
32060,Female,Loyal Customer,58,Personal Travel,Eco,628,1,4,1,3,2,3,5,2,2,1,2,5,2,5,95,88.0,neutral or dissatisfied
32061,Male,Loyal Customer,53,Business travel,Business,3852,1,5,5,5,1,3,3,2,2,2,1,4,2,4,0,0.0,neutral or dissatisfied
32062,Female,Loyal Customer,68,Business travel,Eco Plus,1044,3,2,5,2,2,4,3,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
32063,Male,Loyal Customer,66,Personal Travel,Eco,321,2,4,1,3,3,1,3,3,1,1,3,3,4,3,6,0.0,neutral or dissatisfied
32064,Female,Loyal Customer,48,Business travel,Eco,268,3,2,2,2,5,3,3,3,3,3,3,3,3,2,2,9.0,neutral or dissatisfied
32065,Male,Loyal Customer,14,Personal Travel,Eco Plus,787,1,3,1,1,5,1,2,5,2,1,1,5,5,5,3,23.0,neutral or dissatisfied
32066,Female,Loyal Customer,32,Personal Travel,Eco,304,1,4,1,2,2,1,2,2,5,5,4,5,4,2,0,0.0,neutral or dissatisfied
