,Age,Occupation,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan
15435,-500,Accountant,7711.54,4182.004291203503,8,7,24,9,62,975,17.27,7.0,Bad,2929.44,27.104437621699525,Yes,44.85358882628884,37.563949245720046,LowspentSmallvaluepayments,285.54529526132444,1,0,1,1,2,1,1,1,0
15436,29,Mechanic,122069.01,10115.4175,4,5,6,4,11,11,5.71,4.0,Good,883.42,28.39099575369769,No,276.6254904405113,146.91225974514143,HighspentLargevaluepayments,828.0039998143473,1,2,0,0,0,0,1,0,0
15439,29,Mechanic,122069.01,10115.4175,4,5,6,4,7,11,10.71,8.0,Good,883.42,34.74086736128178,No,276.6254904405113,523.3787327764093,LowspentMediumvaluepayments,491.5375267830796,1,2,0,0,0,0,1,0,0
15440,41,Mechanic,21088.46,1517.371666666667,0,7,8,2,7,12,4.85,0.0,Good,810.51,28.60071873210112,No,33.44654408969392,107.20675502100195,LowspentSmallvaluepayments,301.0838675559708,0,1,1,0,0,0,0,0,0
15443,41,Mechanic,21088.46,4182.004291203503,0,7,8,2,5,11,4.85,1.0,Good,810.51,28.573861479049267,No,33.44654408969392,117.09655375342057,LowspentMediumvaluepayments,281.1940688235522,0,1,1,0,0,0,0,0,0
15444,30,Journalist,9335.19,4182.004291203503,7,10,26,6,12,17,16.18,12.0,Standard,1860.2,38.7303323212232,Yes,41.49926737000092,81.31803721221429,LowspentSmallvaluepayments,251.6759454177848,0,1,0,0,1,0,1,0,2
15445,30,Journalist,9335.19,844.9325,7,10,26,6,16,19,18.18,12.0,Standard,1860.2,31.15652039536706,Yes,41.49926737000092,10000.0,LowspentSmallvaluepayments,287.4096734709812,0,1,0,0,1,0,1,0,2
15446,30,Journalist,9335.19,844.9325,7,10,26,6,17,20,18.18,12.0,Standard,1860.2,38.25054425402504,Yes,41.49926737000092,59.01580145179197,LowspentMediumvaluepayments,263.9781811782072,0,1,0,0,1,0,1,0,2
15449,32,MediaManager,17004.86,1231.0716666666667,10,10,18,2,24,16,7.49,12.0,Bad,1261.59,28.64802008166366,Yes,25.022768764738228,65.83830672516861,LowspentSmallvaluepayments,322.2460911767598,0,0,0,0,0,0,1,1,0
15450,32,MediaManager,17004.86,4182.004291203503,10,10,18,2,19,16,3.49,12.0,Bad,1261.59,29.063637670671945,Yes,25.022768764738228,46.71339776621063,LowspentSmallvaluepayments,341.3710001357178,0,0,0,0,0,0,1,1,0
15452,45,Teacher,54876.2,4182.004291203503,3,4,8,5,15,11,11.01,7.0,Standard,310.47,34.25450016512364,Yes,145.62424298240742,344.7332176237378,LowspentLargevaluepayments,255.64420606052136,1,1,0,0,0,1,1,0,1
15453,45,Teacher,54876.2,4760.016666666666,3,4,8,5,17,17,11.01,7.0,Standard,310.47,24.79801069194097,Yes,145.62424298240742,157.34483141069632,LowspentMediumvaluepayments,453.03259227356295,1,1,0,0,0,1,1,0,1
15456,20,Journalist,56797.38,4182.004291203503,6,4,18,5,15,15,9.72,12.0,Standard,2279.72,29.603364286491708,Yes,141.72183538819058,327.24867704616844,LowspentLargevaluepayments,279.44098756564097,0,0,0,0,1,1,0,2,1
15457,20,Journalist,56797.38,4784.115,6,4,18,5,15,14,15.72,12.0,Standard,2279.72,27.26477138359748,Yes,141.72183538819058,212.747691203315,!@9#%8,413.9419734084945,0,0,0,0,1,1,0,2,1
15462,44,MediaManager,19251.265,1445.272083333333,0,2,10,0,2,3,10.51,2.0,Good,222.4,34.70630646939144,No,0.0,79.44123695927013,LowspentSmallvaluepayments,355.0859713740632,0,0,0,0,0,0,0,0,0
15463,45,MediaManager,19251.265,1445.272083333333,0,2,10,0,2,3,10.51,5.0,Good,222.4,30.58536220716956,NM,0.0,76.08302137155896,LowspentSmallvaluepayments,358.4441869617744,0,0,0,0,0,0,0,0,0
15464,29,Architect,58484.22,5043.685,8,5,16,7,17,16,10.95,6.0,Standard,2389.36,23.63016858011007,Yes,199.56412975577217,62.25743615749352,HighspentLargevaluepayments,482.5469340867343,1,2,1,0,1,1,0,0,1
15465,29,Architect,58484.22,5043.685,8,5,16,7,17,16,10.95,6.0,Standard,2389.36,33.839976708183734,Yes,199.56412975577217,268.8963449156002,LowspentMediumvaluepayments,315.9080253286276,1,2,1,0,1,1,0,0,1
15472,55,Engineer,61934.52,5308.21,7,5,15,0,30,13,15.31,5.0,Standard,107.55,29.12355415722141,Yes,0.0,130.82820678497518,HighspentMediumvaluepayments,649.9927932150249,0,0,0,0,0,0,0,0,0
15475,55,Engineer,61934.52,5308.21,7,5,15,0,26,12,15.31,5.0,Standard,107.55,30.049324914499632,Yes,0.0,193.5406720406793,LowspentMediumvaluepayments,617.2803279593207,0,0,0,0,0,0,0,0,0
15476,49,Writer,158871.12,12962.26,0,4,8,1,8,1,1.17,5.0,Good,576.48,31.74363262142414,No,86.90586037406021,584.9762833882193,LowspentMediumvaluepayments,904.3438562377206,0,0,0,1,0,0,0,0,0
15478,49,Writer,158871.12,12962.26,0,4,8,1,5,1,1.17,5.0,Good,576.48,37.56098145996304,NM,86.90586037406021,805.4455960420938,HighspentSmallvaluepayments,663.8745435838463,0,0,0,1,0,0,0,0,0
15480,41,Accountant,48072.27,4151.022500000001,7,5,15,9,57,14,7.37,15.0,Bad,1434.39,36.16156435678421,NM,305.05907609916625,264.0867221781653,LowspentSmallvaluepayments,135.9564517226686,0,1,0,0,1,2,0,1,2
15484,22,MediaManager,49649.73,4144.4775,7,6,24,5,39,13,1.57,30.080200142959256,Bad,2268.36,24.75801336380034,Yes,203.23808840905053,478.0169421841388,LowspentSmallvaluepayments,23.19271940681074,0,0,2,2,0,0,0,0,0
15487,22,MediaManager,49649.73,4144.4775,7,6,24,5,39,2424,1.57,13.0,Bad,2268.36,23.711580524198503,Yes,203.23808840905053,30.1917392687108,HighspentLargevaluepayments,421.01792232223886,0,0,2,2,0,0,0,0,0
15488,26,Entrepreneur,71102.8,6185.233333333334,2,1,5,-100,14,2,8.73,2.0,Good,830.07,29.86876287530303,No,0.0,504.6027713835072,LowspentMediumvaluepayments,393.9205619498264,0,0,0,0,0,0,0,0,0
15489,27,Entrepreneur,71102.8,4182.004291203503,2,1,5,0,14,5,8.73,2.0,Good,830.07,33.630560767202894,No,0.0,248.28035126667385,LowspentLargevaluepayments,640.2429820666596,0,0,0,0,0,0,0,0,0
15490,27,Entrepreneur,71102.8,4182.004291203503,2,1,5,0,14,2,8.73,2.0,Good,830.07,34.5027541901814,No,0.0,656.9092472143842,LowspentSmallvaluepayments,251.61408611894907,0,0,0,0,0,0,0,0,0
15492,41,Lawyer,72389.88,6020.490000000002,4,4,15,4,30,12,12.11,30.080200142959256,Standard,1144.45,35.86557214514776,Yes,144.7824118564135,169.8609717443415,HighspentMediumvaluepayments,537.4056163992451,0,0,1,0,1,0,1,1,0
15493,41,Lawyer,72389.88,6020.490000000002,4,4,15,4,32,13,12.11,7.0,Standard,1144.45,27.81029639246988,Yes,144.7824118564135,114.49880009966476,HighspentLargevaluepayments,582.7677880439219,0,0,1,0,1,0,1,1,0
15494,42,Lawyer,72389.88,6020.490000000002,4,4,15,-100,30,12,12.11,7.0,Standard,1144.45,32.34446211587393,Yes,144.7824118564135,194.3472428481193,!@9#%8,512.9193452954673,0,0,1,0,1,0,1,1,0
15495,42,Lawyer,72389.88,4182.004291203503,4,4,15,4,30,12,12.11,7.0,Standard,1144.45,41.3414659064715,NM,144.7824118564135,152.32377219972832,LowspentLargevaluepayments,574.9428159438582,0,0,1,0,1,0,1,1,0
15497,26,Developer,30827.58,2426.264717820333,5,4,6,0,22,16,-6.35,7.0,Good,778.02,25.080664726583887,No,384.7002821796678,270.34145366218894,LowspentSmallvaluepayments,300.7550463378112,0,0,0,0,0,0,0,0,0
15498,26,Developer,30827.58,2426.264717820333,5,4,6,0,22,16,5.65,7.0,Good,778.02,26.9384790986654,No,384.7002821796678,279.96638857691363,LowspentSmallvaluepayments,291.1301114230864,0,0,0,0,0,0,0,0,0
15499,26,Developer,30827.58,2426.264717820333,5,4,6,0,22,16,0.65,7.0,Good,778.02,39.71150945172437,No,384.7002821796678,70.00901691492017,HighspentLargevaluepayments,451.0874830850799,0,0,0,0,0,0,0,0,0
15500,23,Lawyer,19134.77,1809.5641666666668,8,5,24,7,22,9,19.18,1442.0,Standard,1870.49,28.708352924627608,Yes,66.15842130344676,48.02687044319651,HighspentMediumvaluepayments,316.7711249200234,0,2,0,1,0,0,1,2,0
15506,30,Engineer,125468.44,10445.703333333331,4,4,10,4,14,13,10.45,7.0,Standard,1136.85,38.12341060028611,Yes,338.09240873665965,610.9019498360078,HighspentSmallvaluepayments,355.5759747606661,0,1,0,0,0,0,1,1,1
15507,30,Engineer,125468.44,10445.703333333331,4,4,2157,4,18,13,10.45,7.0,Standard,1136.85,29.94899223114072,Yes,338.09240873665965,650.4134598053223,!@9#%8,336.0644647913515,0,1,0,0,0,0,1,1,1
15508,22,Teacher,25312.34,1857.361666666667,4,7,3150,2,13,18,10.54,2.0,Standard,893.13,34.31751505518666,Yes,37.091824463334405,125.5684485401396,LowspentLargevaluepayments,293.0758936631927,0,0,0,0,2,0,0,0,0
15511,23,Teacher,25312.34,1857.361666666667,4,7,5,2,11,17,10.54,4.0,Standard,893.13,38.51331429048268,NM,37.091824463334405,218.470466597658,!@9#%8,220.17387560567428,0,0,0,0,2,0,0,0,0
15512,28,Architect,6942969.0,790.5295833333333,7,5,16,2,24,17,19.27,7.0,Standard,196.64,24.00453689810753,NM,21365.0,27.10810418786641,HighspentSmallvaluepayments,293.17691128519755,1,1,0,0,0,0,0,0,0
15514,28,Architect,11610.355,4182.004291203503,7,5,16,2,24,17,19.27,7.0,Standard,196.64,26.266146275347648,Yes,18.76794286026938,25.6967246471342,LowspentMediumvaluepayments,314.5882908259298,1,1,0,0,0,0,0,0,0
15515,28,Architect,11610.355,4182.004291203503,7,5,16,2,24,17,19.27,7.0,Standard,196.64,27.20559772663525,NM,18.76794286026938,92.44901424404212,LowspentSmallvaluepayments,257.83600122902186,1,1,0,0,0,0,0,0,0
15516,51,Scientist,70291.16,5428.547725531466,3,5,13,4,15,16,9.92,4.0,Standard,449.09,35.201422374711264,No,623.2478902104775,183.1702588172696,HighspentMediumvaluepayments,526.5904587741205,1,0,2,1,0,0,0,0,0
15518,51,Scientist,70291.16,4182.004291203503,3,5,13,4,15,16,9.92,4.0,Standard,449.09,30.365748209224588,No,623.2478902104775,363.92125661226953,HighspentSmallvaluepayments,355.83946097912064,1,0,2,1,0,0,0,0,0
15520,16,Doctor,54838.44,4182.004291203503,9,5,31,3,51,12,17.56,11.0,Standard,2111.86,27.58482874426567,Yes,108.62639534189952,66.55438866881761,HighspentLargevaluepayments,498.5062159892829,1,0,2,0,0,0,0,0,0
15524,31,MediaManager,37159.0,3299.583333333333,5,4,15,4,16,19,13.43,8.0,Standard,1051.35,24.295058430259985,Yes,74.6034267025455,61.39345854332685,HighspentMediumvaluepayments,443.961448087461,0,0,0,0,1,1,0,1,1
15527,31,MediaManager,37159.0,4182.004291203503,5,4,15,4,16,19,13.43,12.0,Standard,1051.35,36.6632580098388,Yes,74.6034267025455,47.7948036275811,HighspentLargevaluepayments,447.5601030032068,0,0,0,0,1,1,0,1,1
15529,39,Mechanic,67703.85,4182.004291203503,6,4,17,2,25,15,6.029999999999999,5.0,Standard,1493.29,26.84568072610924,No,79.79713620978782,10000.0,HighspentMediumvaluepayments,654.8688411886568,0,0,0,1,0,0,0,0,1
15530,39,Mechanic,67703.85,4182.004291203503,6,4,17,2,31,18,11.03,5.0,Standard,1493.29,27.378869689678424,No,79.79713620978782,221.6217466560268,HighspentSmallvaluepayments,507.8798671341855,0,0,0,1,0,0,0,0,1
15534,36,Lawyer,14314651.0,1039.4558333333332,5,10,26,6,28,16,11.12,12.0,Standard,1275.75,31.351972970092305,Yes,73.23949445257473,67.23925668613366,HighspentSmallvaluepayments,223.4668321946249,0,1,0,2,1,0,1,0,1
15536,37,Mechanic,7823.985,4182.004291203503,6,5,34,3,54,28,8.53,12.0,Bad,2193.11,34.351003618341124,Yes,11.426858191684222,69.86794556437178,LowspentSmallvaluepayments,268.705071243944,0,0,0,1,0,2,0,0,0
15537,38,Mechanic,7823.985,599.99875,6,5,34,3,56,24,8.53,12.0,Bad,2193.11,35.497385092025645,NM,11.426858191684222,22.1444219779769,LowspentSmallvaluepayments,316.42859483033885,0,0,0,1,0,2,0,0,0
15539,7533,Mechanic,7823.985,599.99875,6,5,34,3,52,23,8.53,12.0,Bad,2193.11,35.00492193468574,NM,11.426858191684222,38.27588794088773,LowspentSmallvaluepayments,300.29712886742806,0,0,0,1,0,2,0,0,0
15540,46,Engineer,139383.6,4182.004291203503,4,20,10,2,28,15,14.14,5.0,Standard,1132.1,27.35473648868321,No,163.12945662790682,773.6132215114374,HighspentSmallvaluepayments,485.087321860656,0,0,1,0,0,0,0,1,0
15542,46,Engineer,139383.6,11618.3,4,6,10,-100,28,14,8.14,5.0,Standard,1132.1,37.573211575351046,No,163.12945662790682,297.9359217119021,HighspentLargevaluepayments,940.7646216601912,0,0,1,0,0,0,0,1,0
15543,46,Engineer,139383.6,11618.3,4,6,10,-100,28,16,8.14,5.0,Standard,1132.1,37.69334183127432,NM,163.12945662790682,205.367744837875,HighspentLargevaluepayments,1033.3327985342185,0,0,1,0,0,0,0,1,0
15545,25,Lawyer,21697.64,2088.1366666666668,3,7,8,2,3,11,10.65,6.0,Standard,431.39,33.08532856562904,Yes,36.1425286636439,50.92502432547817,HighspentMediumvaluepayments,371.7461136775447,1,0,0,0,0,0,0,1,0
15546,25,Lawyer,21697.64,2088.1366666666668,3,7,8,2,5,13,10.65,6.0,Standard,431.39,37.82378093498003,Yes,36.1425286636439,99.81779608866977,LowspentLargevaluepayments,342.853341914353,1,0,0,0,0,0,0,1,0
15547,25,Lawyer,21697.64,2088.1366666666668,3,7,8,-100,5,13,10.65,6.0,Standard,431.39,23.967701059767307,Yes,36.1425286636439,182.1313024874965,!@9#%8,280.53983551552625,1,0,0,0,0,0,0,1,0
15548,33,Architect,56622.69,4825.5575,6,7,19,8,62,22,20.46,14.0,Bad,3896.87,26.833641336348062,Yes,348.6732713850269,122.58507066396947,HighspentMediumvaluepayments,261.29740795100355,1,1,1,1,1,1,0,1,1
15550,33,Architect,56622.69,4825.5575,6,7,19,8,62,19,20.46,14.0,Bad,3896.87,32.933762018518564,Yes,348.6732713850269,120.3819388282304,HighspentMediumvaluepayments,263.5005397867426,1,1,1,1,1,1,0,1,1
15554,43,Developer,71732.72,6020.7266666666665,4,3,7,3,5,9,17.8,5.0,Standard,632.16,29.54952784586002,Yes,129.93301941562228,202.0481296731884,HighspentMediumvaluepayments,520.0915175778559,0,0,0,0,0,1,0,1,1
15555,43,Developer,71732.72,6020.7266666666665,4,3,7,3,5,12,13.8,5.0,Standard,632.16,41.01114658335503,Yes,129.93301941562228,280.1931328108424,LowspentMediumvaluepayments,471.946514440202,0,0,0,0,0,1,0,1,1
15558,29,Writer,19841.0,4182.004291203503,6,10,17,5,56,22,18.88,11.0,Bad,2538.06,38.21744566519777,Yes,79.74213528853372,45.935097531744354,HighspentSmallvaluepayments,309.9644338463886,0,0,0,1,1,1,0,0,1
15559,29,Writer,19841.0,1756.416666666667,6,10,17,5,55,22,18.88,11.0,Bad,2538.06,33.59478644885537,Yes,79.74213528853372,126.73734247895568,LowspentMediumvaluepayments,249.16218889917727,0,0,0,1,1,1,0,0,1
15560,23,Scientist,79556.12,6800.676666666666,8,6,9,7,20,13,10.09,9.0,Standard,2393.45,32.27537325960553,Yes,406.76569517739233,131.91100388575433,HighspentMediumvaluepayments,391.39096760352015,1,1,0,1,1,0,1,1,0
15561,-500,Scientist,79556.12,6800.676666666666,8,6,9,7,18,11,10.09,9.0,Standard,2393.45,24.618847986465727,Yes,406.76569517739233,197.8785975971749,HighspentSmallvaluepayments,335.4233738920996,1,1,0,1,1,0,1,1,0
15563,23,Scientist,79556.12,6800.676666666666,8,6,9,7,20,10,10.09,9.0,Standard,2393.45,25.516825400917288,Yes,406.76569517739233,417.1621553689384,LowspentMediumvaluepayments,136.13981612033606,1,1,0,1,1,0,1,1,0
15564,41,Accountant,31134.22,4182.004291203503,7,845,5,3,12,11,17.23,8.0,Standard,1746.56,34.31295170631776,Yes,44.84666562293261,204.55745081395463,LowspentSmallvaluepayments,296.2477168964461,1,0,1,0,0,0,1,0,0
15566,41,Accountant,31134.22,2556.518333333333,53,6,5,-100,10,10,17.23,8.0,Standard,1746.56,34.88218081343544,NM,44.84666562293261,147.21214125125053,LowspentLargevaluepayments,333.5930264591502,1,0,1,0,0,0,1,0,0
15567,41,Accountant,31134.22,2556.518333333333,7,6,5,3,10,10,17.23,8.0,Standard,1746.56,34.97126872540684,Yes,44.84666562293261,108.9102430810496,LowspentSmallvaluepayments,391.8949246293511,1,0,1,0,0,0,1,0,0
15568,21,MediaManager,70981.16,5909.096666666667,8,9,25,7,42,24,4.91,8.0,Bad,4529.63,28.99637065740401,Yes,213.52038758134407,148.24670168310584,HighspentMediumvaluepayments,479.1425774022168,1,1,2,0,1,0,1,0,0
15570,21,MediaManager,70981.16,5909.096666666667,8,9,25,7,38,21,4.91,9.0,Bad,4529.63,38.4124133689571,Yes,213.52038758134407,308.63020623974563,LowspentSmallvaluepayments,358.759072845577,1,1,2,0,1,0,1,0,0
15571,21,MediaManager,70981.16,5909.096666666667,8,9,25,7,42,21,1.91,9.0,Bad,4529.63,35.054438006505634,NM,213.52038758134407,220.52198293599395,HighspentMediumvaluepayments,406.8672961493287,1,1,2,0,1,0,1,0,0
15572,27,Doctor,21673.57,1623.1308333333334,7,3,328,1,7,16,9.66,3.0,Standard,551.81,36.8325327646122,No,14.539651231938372,186.40823035682345,LowspentSmallvaluepayments,251.3652017445716,0,1,0,0,0,0,0,0,0
15574,27,Doctor,21673.57,1623.1308333333334,7,3,16,1,7,16,2.66,8.0,Standard,551.81,36.29020180818541,No,14.539651231938372,143.91919244903798,LowspentMediumvaluepayments,283.85423965235697,0,1,0,0,0,0,0,0,0
15575,27,Doctor,21673.57,4182.004291203503,7,811,16,1,7,19,9.66,8.0,Standard,551.81,29.12118572844396,No,14.539651231938372,108.15187531831349,LowspentSmallvaluepayments,329.6215567830816,0,1,0,0,0,0,0,0,0
15576,21,Scientist,1448487.0,4740.193333333334,3,5,2,3,5,7,1.36,2.0,Good,222.83,34.556954321647666,No,132.96734063560896,260.52724713912204,LowspentMediumvaluepayments,360.5247455586024,0,0,0,0,1,1,0,1,0
15578,22,Scientist,57986.32,4740.193333333334,3,5,2,3,5,7,1.36,2.0,Good,222.83,25.86030223362095,No,132.96734063560896,221.8626990671592,LowspentMediumvaluepayments,399.1892936305653,0,0,0,0,1,1,0,1,0
15580,32,Engineer,81008.58,6728.715,8,6,5,0,18,18,8.34,30.080200142959256,Standard,249.08,38.9515582278527,Yes,0.0,264.3706092722742,LowspentMediumvaluepayments,688.5008907277257,0,0,0,0,0,0,0,0,0
15581,32,Engineer,81008.58,6728.715,8,6,5,0,15,18,8.34,4.0,Standard,249.08,30.767527321211013,Yes,0.0,240.75251911939677,HighspentMediumvaluepayments,682.1189808806032,0,0,0,0,0,0,0,0,0
15584,27,Journalist,17919.81,4182.004291203503,8,6,25,5,25,16,19.82,10.0,Bad,2515.51,35.75377722137578,NM,62.53662541783595,110.6602867974333,LowspentMediumvaluepayments,254.2348377847308,1,0,2,0,0,0,0,1,0
15585,27,Journalist,17919.81,4182.004291203503,8,6,25,5,25,16,19.82,10.0,Bad,2515.51,35.43026742333527,Yes,53151.0,76.37138412744534,LowspentMediumvaluepayments,288.52374045471873,1,0,2,0,0,0,0,1,0
15586,27,Journalist,17919.81,1474.3175,8,6,25,5,25,16,16.82,10.0,Bad,2515.51,27.382046175027256,Yes,62.53662541783595,89.88064757583035,LowspentLargevaluepayments,265.0144770063337,1,0,2,0,0,0,0,1,0
15587,27,Journalist,17919.81,1474.3175,8,6,25,5,25,16,26.82,10.0,Bad,2515.51,26.740737279362364,Yes,62.53662541783595,91.70099317076983,LowspentSmallvaluepayments,283.1941314113942,1,0,2,0,0,0,0,1,0
15589,56,Accountant,49790.5,4060.208333333333,6,5,15,2,27,9,3.34,4.0,Standard,1021.5,38.318120321882375,No,63.07841790498636,274.7914775817543,LowspentSmallvaluepayments,358.1509378465926,2,0,0,0,0,0,0,0,0
15591,56,Accountant,49790.5,4060.208333333333,6,5,15,2,29,9,3.34,4.0,Standard,1021.5,30.473416380639392,No,63.07841790498636,167.55117504033242,!@9#%8,425.3912403880145,2,0,0,0,0,0,0,0,0
15592,44,Manager,131040.42,10543.115288729054,3,1,7,0,14,11,2.88,8.0,Good,650.28,36.47577304975364,No,560.9197112709462,389.9600611673917,LowspentSmallvaluepayments,1010.4434388326084,0,0,0,0,0,0,0,0,0
15594,45,Manager,131040.42,10543.115288729054,3,1,7,0,14,11,2.88,8.0,Good,650.28,39.68889778244181,No,560.9197112709462,351.6265395580982,HighspentMediumvaluepayments,1008.776960441902,0,0,0,0,0,0,0,0,0
15598,38,Scientist,9365.44,617.4533333333334,9,5,22,4,20,11,4.28,12.0,Standard,1776.8,33.43229328038252,Yes,17.842008163423433,24.45513973845853,LowspentMediumvaluepayments,299.4481854314513,0,1,0,1,0,0,1,1,0
15599,38,Scientist,9365.44,617.4533333333334,9,5,22,4,20,11,7.28,17.0,Standard,1776.8,38.63695037502112,NM,17.842008163423433,75.60326405498199,LowspentSmallvaluepayments,258.3000611149279,0,1,0,1,0,0,1,1,0
15602,22,Musician,31396.36,2469.363333333333,2,3,12,3,5,5,8.13,8.0,Good,1294.44,29.455132185654165,No,38771.0,22.00968058506532,HighspentLargevaluepayments,394.1717012166035,0,0,0,0,1,2,0,0,0
15604,33,Journalist,48070.3,4233.858333333334,5,5,2,0,26,17,1.58,2.0,Good,1025.3,30.1249678706052,No,0.0,123.6708544585724,HighspentMediumvaluepayments,549.714978874761,0,0,0,0,0,0,0,0,0
15605,33,Journalist,48070.3,4233.858333333334,5,5,2,0,26,15,2.58,2.0,Good,1025.3,30.35849326367305,No,0.0,316.88816118134974,LowspentMediumvaluepayments,386.4976721519837,0,0,0,0,0,0,0,0,0
15606,33,Journalist,48070.3,4233.858333333334,5,5,2,0,26,15,6.58,7.0,Good,1025.3,38.094599840799816,No,0.0,101.07751343870083,HighspentLargevaluepayments,562.3083198946325,0,0,0,0,0,0,0,0,0
15612,15,Manager,40445.44,2922.5550043326534,8,6,33,6,51,22,19.06,14.0,Bad,3484.72,28.46129251155268,Yes,352.99900584505446,115.77698312870277,HighspentSmallvaluepayments,336.3676733602567,1,1,1,2,0,0,0,1,0
15613,15,Manager,40445.44,4182.004291203503,8,6,33,6,51,22,19.06,14.0,Bad,3484.72,24.17301274349563,Yes,352.99900584505446,102.22933666284204,LowspentMediumvaluepayments,369.9153198261174,1,1,1,2,0,0,0,1,0
15620,-500,Entrepreneur,28056.94,2115.078333333333,4,6,10,2,4,15,16.43,6.0,Standard,822.94,35.25763368768996,Yes,41.74919161384339,91.93583842380156,LowspentSmallvaluepayments,367.8228032956884,0,1,0,0,0,0,0,1,0
15622,28,Entrepreneur,28056.94,2115.078333333333,4,6,10,2,9,12,16.43,6.0,Standard,822.94,33.582268718448226,Yes,41.74919161384339,25.71379372348235,HighspentLargevaluepayments,384.0448479960076,0,1,0,0,0,0,0,1,0
15623,28,Entrepreneur,28056.94,2115.078333333333,4,6,10,2,9,12,10.43,6.0,Standard,822.94,37.237858330723256,Yes,41.74919161384339,153.7728311595768,!@9#%8,305.9858105599132,0,1,0,0,0,0,0,1,0
15624,27,Architect,54811.56,4510.63,4,5,11,6,28,13,11.74,13.0,Standard,2170.62,24.867122285170343,Yes,171.34139979515905,73.61830585070477,!@9#%8,456.10329435413627,0,1,1,2,1,0,1,0,0
15626,27,Architect,54811.56,4510.63,4,5,11,6,28,11,4.74,13.0,Standard,2170.62,37.42464376205341,Yes,171.34139979515905,280.40639447220343,LowspentLargevaluepayments,269.3152057326376,0,1,1,2,1,0,1,0,0
15627,27,Architect,54811.56,4510.63,4,5,11,6,29,11,11.74,13.0,Standard,2170.62,25.88674957101905,Yes,171.34139979515905,147.60244297065762,HighspentMediumvaluepayments,382.1191572341834,0,1,1,2,1,0,1,0,0
15628,15,Scientist,31785.1,2410.758333333333,7,9,27,9,45,16,27.75,7.0,Bad,4399.44,30.047115315041857,Yes,178.77415955675656,262.422181675504,LowspentSmallvaluepayments,89.87949210107273,0,1,0,1,1,1,1,2,1
15631,16,Scientist,31785.1,2410.758333333333,7,9,27,9,45,16,27.75,7.0,Bad,4399.44,37.46168021401768,Yes,178.77415955675656,58.0000731420827,!@9#%8,264.3016006344941,0,1,0,1,1,1,1,2,1
15632,35,Doctor,51729.75,4182.004291203503,9,489,28,8,47,19,0.81,13.0,Bad,2296.5,35.168753499946874,Yes,247.40065349819284,62.5700463563731,HighspentLargevaluepayments,386.6105501454341,1,1,1,1,1,0,0,2,0
15634,35,Doctor,51729.75,4565.8125,9,6,28,8,47,19,-3.19,13.0,Bad,2296.5,24.145343387565827,Yes,247.40065349819284,50.13146906392329,HighspentMediumvaluepayments,409.049127437884,1,1,1,1,1,0,0,2,0
15635,35,Doctor,51729.75,4565.8125,9,6,28,8,42,19,-1.19,13.0,Bad,2296.5,34.948567484695204,Yes,247.40065349819284,294.2637706278205,HighspentSmallvaluepayments,174.9168258739867,1,1,1,1,1,0,0,2,0
15637,26,Writer,12255.61,868.3008333333332,8,6,19,2,19,19,13.23,5.0,Standard,494.31,30.516098241078595,Yes,11.637322964619509,23.1055114877898,HighspentSmallvaluepayments,312.087248880924,1,0,0,0,1,0,0,0,0
15638,26,Writer,12255.61,868.3008333333332,8,6,19,2,20,19,8.23,5.0,Standard,494.31,38.83675441252379,Yes,11.637322964619509,10000.0,LowspentSmallvaluepayments,266.3217729372831,1,0,0,0,1,0,0,0,0
15640,25,Engineer,33477.64,2643.8033333333333,7,6,23,6,57,21,6.83,13.0,Bad,1910.95,39.2560843437207,Yes,113.2192818897486,119.6337909227522,LowspentLargevaluepayments,301.5272605208325,1,0,0,0,0,0,1,1,2
15641,25,Engineer,33477.64,4182.004291203503,7,6,23,6,57,24,9.83,13.0,Bad,1910.95,27.31522839794977,Yes,113.2192818897486,273.2774844079071,LowspentSmallvaluepayments,167.88356703567763,1,0,0,0,0,0,1,1,2
15642,25,Engineer,33477.64,2643.8033333333333,7,6,23,6,52,21,6.83,13.0,Bad,1910.95,34.637135000100734,Yes,113.2192818897486,132.6767327577835,LowspentLargevaluepayments,288.4843186858012,1,0,0,0,0,0,1,1,2
15644,35,Musician,38460.28,3241.023333333333,6,9,16,7,57,16,20.71,13.0,Bad,4106.5,25.17475047832307,Yes,179.13582114127118,95.80548412969506,HighspentMediumvaluepayments,299.1610280623671,0,0,1,1,0,0,2,2,0
15645,35,Musician,38460.28,4182.004291203503,6,9,16,7,57,16,20.71,13.0,Bad,4106.5,30.420739401226047,Yes,179.13582114127118,245.098556995311,LowspentSmallvaluepayments,189.8679551967512,0,0,1,1,0,0,2,2,0
