,Age,Annual_Income,Monthly_Inh_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outsting_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,AutoLoan,Credit-BuilderLoan,DebtConsolidationLoan,HomeEquityLoan,MortgageLoan,NotSpecified,PaydayLoan,PersonalLoan,StudentLoan,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_MediaManager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,userID
292,42.0,9841.34,690.1116666666667,8.0,9.0,31.0,5.0,64.0,12.0,29.52,10.0,4984.82,35.47926696547023,2,36.67512791916932,23.724284766347083,0,298.61175398115034,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,228819
294,42.0,9841.34,4182.004291203503,8.0,9.0,31.0,5.0,61.0,18.0,25.52,10.0,4984.82,27.20170801456344,2,36.67512791916932,16.913195976804445,3,275.4228427706929,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,913560
295,42.0,10527110.0,690.1116666666667,8.0,9.0,31.0,5.0,62.0,15.0,28.52,10.0,4984.82,35.850307949102344,2,36.67512791916932,30.935735656151515,3,261.40030309134585,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648234
296,35.0,72330.98,4182.004291203503,0.0,3.0,11.0,1.0,1.0,6.0,4.62,1.0,596.78,39.45053019476518,1,31.37979415843871,258.79381242049067,4,609.8845600877373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294336
298,35.0,72330.98,6300.581666666666,0.0,3.0,11.0,1.0,1.0,7.0,4.62,5.0,596.78,33.74384689259225,1,31.37979415843871,261.87254396996724,6,626.8058285382607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943792
299,36.0,72330.98,6300.581666666666,1.0,4.0,11.0,-100.0,1.0,3.0,4.62,5.0,596.78,29.963068109536977,1,31.37979415843871,83.86037364309526,2,764.8179988651327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267733
301,16.0,43241.49,3282.269196467356,1444.0,7.0,30.0,6.0,36.0,19.0,11.47,10.0,2174.16,33.877016508271254,2,460.4272666027642,59.00626433454359,2,386.8005225953364,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638192
302,16.0,43241.49,3282.269196467356,10.0,7.0,30.0,6.0,36.0,17.0,8.47,15.0,2174.16,25.858932365901,2,460.4272666027642,112.8705138258177,2,332.9362731040623,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353596
303,1643.0,43241.49,3282.269196467356,10.0,7.0,30.0,6.0,36.0,17.0,8.47,15.0,2174.16,37.668434988986384,0,460.4272666027642,38.567458704402725,2,407.2393282254772,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350035
304,20.0,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,5.0,996.54,24.33251485677405,2,0.0,30.848466341651665,1,485.8747003250151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570734
307,20.0,34106.78,2767.231666666666,8.0,5.0,17.0,0.0,8.0,10.0,10.06,5.0,996.54,26.968914430296625,2,0.0,196.0587545726994,5,360.66441209396726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743377
310,25.0,129067.59,4182.004291203503,1.0,3.0,1.0,4.0,9.0,5.0,4.54,30.080200142959256,137.15,33.15728064201587,1,389.3056724525229,113.16802784003656,1,817.0895497074405,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605766
311,25.0,129067.59,10795.6325,1.0,3.0,1.0,-100.0,9.0,5.0,4.54,30.080200142959256,137.15,31.345768164116336,1,389.3056724525229,671.0016881780405,3,279.25588936943655,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957079
312,34.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,5.0,18.0,5.62,2.0,1093.87,26.323832394128733,0,10.535555607461252,42.99318849345953,5,347.94908923241263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150642
313,35.0,17001.34,4182.004291203503,6.0,5.0,5.0,1.0,10.0,20.0,5.62,2.0,1093.87,34.91508877384353,0,10.535555607461252,10000.0,3,312.3959041494351,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356865
315,35.0,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,10.0,20.0,5.62,2.0,1093.87,37.721439876804816,0,10.535555607461252,41.289065337162455,6,359.65321238870973,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,621691
316,21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,42.0,19.0,27.21,14.0,3818.57,24.25286502648052,2,248.599885855438,132.15544933818092,4,286.2044148063811,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,888216
317,21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,42.0,19.0,23.21,14.0,3818.57,33.895711192486885,2,248.599885855438,10000.0,2,292.6806426115781,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,210667
318,21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,42.0,19.0,23.21,14.0,3818.57,36.54670150307007,2,248.599885855438,138.95563491741666,2,259.40422922714544,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794594
322,48.0,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,5.0,15.0,5.65,2.0,730.9,24.47285691111417,1,20.06363388435491,158.16029406533653,6,236.0039053836419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,524465
325,42.0,103353.06,4182.004291203503,3.0,3.0,6.0,1.0,4.0,9.0,3.11,7.0,1374.56,42.28209254958709,1,64.00168567310892,139.51663526851965,1,889.2571790583714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740078
326,42.0,4602545.0,8527.755,3.0,3.0,6.0,1.0,4.0,9.0,3.11,7.0,1374.56,31.22177904222145,1,64.00168567310892,177.27095161401814,1,851.5028627128729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754702
328,39.0,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,16.0,18.0,11.21,7.0,852.81,29.022727164866577,1,90.7591784649516,77.12508724804253,2,357.7260676203392,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,429697
331,39.0,31021.24,2660.636339227669,7.0,7.0,11.0,4.0,20.0,20.0,11.21,7.0,852.81,29.05362022009968,1,186.22617257061623,167.46544946804633,4,287.3857054003354,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741709
335,37.0,134978.24,10541.520749550598,8.0,5.0,15.0,2.0,9.0,16.0,9.89,5.0,668.14,36.244628132457535,2,662.7777405037292,10000.0,0,876.3211099581301,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510420
336,29.0,39800.12,3047.6766666666667,7.0,5.0,12.0,3.0,17.0,18.0,18.53,4.0,660.69,33.83231835702849,2,58.48765733950958,254.3090005434428,6,281.97100878371435,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,204180
339,29.0,39800.12,3047.6766666666667,7.0,5.0,12.0,3.0,17.0,18.0,18.53,6.0,660.69,30.3763626789762,2,58.48765733950958,281.0353367330702,5,245.2446725940869,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,564884
341,18.0,14841.35,1437.779166666667,6.0,5.0,17.0,7.0,60.0,16.0,27.64,6.0,3865.15,25.242774404795504,2,71.54474307214656,147.10528696336212,6,215.127886631158,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,412064
342,18.0,14841.35,4182.004291203503,6.0,5.0,17.0,7.0,61.0,16.0,27.64,6.0,3865.15,32.57481758191717,2,71.54474307214656,87.0032876221631,6,275.229885972357,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,490146
343,18.0,14841.35,4182.004291203503,6.0,5.0,17.0,7.0,60.0,13.0,27.64,11.0,3865.15,26.50376316447064,2,71.54474307214656,108.16668922877426,6,254.06648436574585,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,881695
344,22.0,66105.4,4182.004291203503,6.0,8.0,31.0,5.0,30.0,22.0,1.5199999999999996,12.0,1549.56,39.81281030049042,2,214.07212305606225,172.8113821078843,0,438.4948281693869,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,933156
347,22.0,66105.4,5653.783333333333,6.0,8.0,31.0,5.0,21.0,22.0,5.52,2019.0,1549.56,27.13249466234779,2,214.07212305606225,146.8070958244739,3,464.4991144527973,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107841
348,28.0,15398.95,4182.004291203503,1.0,1226.0,5.0,4.0,-2.0,1.0,5.41,8.0,343.84,41.42348017629144,1,34.81396985624466,64.37268235281262,5,335.63793112427607,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416507
349,28.0,15398.95,1548.2458333333334,1.0,7.0,5.0,4.0,1.0,0.0,6.41,8.0,343.84,41.27143023516286,1,34.81396985624466,96.29585881449027,6,313.7147546625984,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441791
350,29.0,15398.95,1548.2458333333334,1.0,7.0,5.0,4.0,1.0,0.0,8.41,8.0,343.84,29.861435919662046,0,34.81396985624466,131.80143451933915,6,278.20917895774954,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,565225
351,29.0,15398.95,1548.2458333333334,1.0,7.0,5.0,4.0,1.0,0.0,13.41,8.0,343.84,31.74691660199067,1,34.81396985624466,45.39012955896059,2,324.6204839181281,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,303568
353,18.0,27070.07,2518.839166666666,7.0,3.0,11.0,4.0,12.0,15.0,5.68,6.0,919.76,26.27047546982729,1,73.23331847935155,67.62085302814172,4,381.0297451591733,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,304619
354,19.0,27070.07,2518.839166666666,7.0,3.0,11.0,4.0,12.0,15.0,5.68,6.0,919.76,27.73342619528208,1,73.23331847935155,229.9913603163184,0,238.6592378709967,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866911
364,22.0,18305.25,1557.4375,2.0,1.0,4.0,0.0,14.0,9.0,5.27,3.0,363.51,23.76629396145191,0,0.0,95.1739001001918,6,350.5698498998082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168991
365,23.0,18305.25,1557.4375,2.0,1.0,4.0,0.0,14.0,12.0,11.27,3.0,363.51,28.866621901857343,1,0.0,28.458236486071574,2,377.28551351392855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649442
366,23.0,18305.25,1557.4375,2.0,1.0,4.0,0.0,16.0,9.0,5.27,3.0,363.51,33.14341245117926,1,0.0,132.85627969010687,6,312.8874703098932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,754989
368,26.0,27865.26,2606.105,4.0,3.0,6.0,1.0,22.0,18.0,19.05,5.0,635.59,38.98423900777389,2,17.69844332156168,10000.0,6,211.2512958155042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937535
369,26.0,27865.26,2606.105,4.0,3.0,6.0,1.0,25.0,16.0,17.05,5.0,635.59,36.043560442424734,2,17.69844332156168,98.13711127795484,2,394.7749454004835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376743
370,26.0,27865.26,2606.105,4.0,3.0,6.0,1.0,20.0,18.0,19.05,9.0,635.59,35.527603850657634,2,17.69844332156168,67.5934044698661,0,415.3186522085721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767527
372,36.0,23404.86,1899.405,6.0,5.0,7.0,0.0,14.0,17.0,15.82,5.0,35.54,37.859668889152616,0,0.0,64.72167353829056,3,385.2188264617095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225178
374,37.0,23404.86,1899.405,6.0,5.0,7.0,0.0,12.0,17.0,15.82,10.0,35.54,32.1752548850747,2,0.0,67.91798504713712,2,372.0225149528629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,519735
376,34.0,14205.09,1086.7575,7.0,10.0,21.0,8.0,33.0,20.0,19.42,16.0,4845.24,30.66834577212341,2,49.03239546911298,42.28708960267633,5,297.3562649282107,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953642
377,34.0,14205.09,1086.7575,7.0,10.0,21.0,8.0,33.0,22.0,19.42,16.0,4845.24,30.99083993733127,2,49.03239546911298,75.19998090431021,6,274.44337362657683,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125746
379,34.0,14205.09,4182.004291203503,7.0,10.0,21.0,8.0,33.0,19.0,19.42,16.0,4845.24,34.528830061689845,2,49.03239546911298,30.213639524938827,0,279.4297150059482,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,623880
381,28.0,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,17.0,16.24,15.0,3589.56,23.445625647930694,2,171.34555972446432,181.3238721940792,6,444.16856808145656,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,720728
382,28.0,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,15.0,13.239999999999998,15.0,3589.56,24.20949501732343,2,171.34555972446432,407.6435891237029,6,217.8488511518329,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,836925
383,29.0,62320.56,5068.38,9.0,9.0,18.0,5.0,23.0,15.0,21.24,15.0,3589.56,36.310920358906,2,73057.0,64.07518363280778,2,521.4172566427279,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,449172
385,6586.0,43758.34,4182.004291203503,5.0,6.0,12.0,2.0,17.0,-1.0,5.18,2.0,1194.28,28.743239983026484,1,56.31142051341512,153.83663097872315,4,405.3047818411952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198680
386,25.0,43758.34,3454.528333333333,5.0,6.0,12.0,2.0,13.0,2.0,4.18,2.0,1194.28,37.251135888237904,1,56.31142051341512,101.77200926780856,2,437.3694035521097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,428637
387,25.0,43758.34,4182.004291203503,5.0,6.0,12.0,2.0,13.0,2.0,0.1799999999999997,2.0,1194.28,37.71389943844426,0,56.31142051341512,80.4648044465757,2,458.6766083733425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,702124
391,21.0,144881.68,11877.473333333332,3.0,4.0,15.0,4.0,5.0,13.0,10.1,5.0,404.51,32.8610639709642,2,414.65601320398537,10000.0,2,869.1793278233184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706286
393,39.0,108147.3,8926.275,3.0,6.0,6.0,4.0,10.0,21.0,0.5700000000000003,2.0,1113.06,38.70406395775919,2,211.1795815692456,474.04912203129686,6,497.3987963994576,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934741
394,39.0,108147.3,8926.275,3.0,6.0,6.0,4.0,13.0,20.0,7.57,2.0,1113.06,28.76673305969088,2,211.1795815692456,818.1044311718832,5,143.34348725887128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792996
396,28.0,17759.1,1533.925,6.0,8.0,19.0,5.0,24.0,20.0,5.2,10.0,3598.39,22.08115310586168,2,64.55062048800421,15.193960535175282,1,313.6479189768205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,391296
397,28.0,17759.1,1533.925,6.0,8.0,19.0,5.0,24.0,20.0,5.2,10.0,3598.39,34.132354250666,2,64.55062048800421,183.50916894733345,6,195.3327105646624,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,318978
400,37.0,85328.73,6858.7275,3.0,4.0,11.0,1.0,12.0,17.0,1.83,2.0,585.05,24.33710788382652,1,68.4589661120162,291.3699980847771,3,586.0437858032068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149578
403,38.0,85328.73,6858.7275,3.0,4.0,11.0,1.0,12.0,17.0,1.83,2.0,585.05,30.382055833805538,1,68.4589661120162,608.4725226772811,5,288.9412612107027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,156341
404,27.0,134321.44,4182.004291203503,3.0,5.0,12.0,4.0,26.0,19.0,11.09,3.0,1428.68,34.65852232912861,2,1320.5490633616223,300.14299775698487,2,802.6140918732493,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,140991
410,25.0,61008.0,5235.0,10.0,5.0,32.0,4.0,16.0,19.0,19.44,17.0,1755.81,25.22776614388638,2,189.4265306646308,74.80924749092921,2,509.26422184443993,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641389
412,19.0,28665.76,2582.813333333333,7.0,3.0,5.0,1.0,16.0,7.0,4.32,0.0,1237.46,29.08237270108224,1,22.68817757992469,44.31234274961548,1,431.2808130037931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421513
413,20.0,28665.76,2582.813333333333,7.0,3.0,5.0,1.0,16.0,11.0,4.32,0.0,1237.46,27.27950957315716,0,22.68817757992469,299.0303687528128,6,226.56278700059585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460980
414,7014.0,28665.76,2582.813333333333,297.0,3.0,5.0,1.0,16.0,11.0,4.32,0.0,1237.46,24.843695761859934,1,22.68817757992469,265.66842762375745,6,259.9247281296512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184231
415,20.0,28665.76,4182.004291203503,7.0,3.0,5.0,1.0,11.0,10.0,4.32,0.0,1237.46,27.50176041038753,1,22.68817757992469,73.88548447130108,4,431.7076712821074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355972
417,19.0,56803.71,4620.6425,7.0,5.0,25.0,6.0,46.0,21.0,16.23,30.080200142959256,2593.44,27.46799059089665,2,187.190218862138,175.9661277033166,5,378.90790343454535,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806187
418,19.0,56803.71,4620.6425,7.0,5.0,25.0,6.0,42.0,23.0,16.23,11.0,2593.44,38.87819909381113,2,187.190218862138,144.6027128035824,2,380.2713183342796,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628233
420,32.0,38364.82,2904.068333333333,9.0,6.0,32.0,4.0,36.0,22.0,3.44,12.0,1973.63,25.79583071970276,0,74.85037187731447,317.9826784830732,6,187.57378297294568,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522966
